230094
/m/01hgx9
/m/01hgx9
Roger Zelazny
1975-02
a 24
abilities 1
able 2
about 1
absence 1
accident 1
accompanies 1
accuses 1
across 1
after 3
agree 1
aid 2
air 1
all 2
allowing 1
ally 2
allytrying 1
also 1
although 1
amber 9
amberinthesky 1
among 1
an 7
and 28
angered 1
appears 1
are 5
arm 4
around 1
arranges 1
artifact 2
as 7
ascends 1
aside 1
asking 1
assumes 1
asylum 1
attempt 1
attune 1
attunement 1
awakens 1
awareness 1
b 1
back 2
be 7
bearer 3
bearing 1
beast 1
been 7
belonged 1
benedict 2
bill 1
blacks 1
bleeding 1
bleys 2
bloodshoteyed 1
body 2
boulders 1
brand 10
brandon 1
brother 4
brothers 2
brought 1
but 9
by 8
caine 6
call 1
came 2
can 1
captured 1
car 1
carl 1
carried 1
castle 2
cell 1
chamber 1
chaos 1
chased 1
city 1
claim 1
close 1
clutching 1
combined 1
come 1
commands 1
committed 1
complicate 1
complicated 1
compost 1
confused 1
contact 1
contacted 1
control 1
conversation 1
convinced 1
copy 1
corey 2
corwin 28
could 1
creature 1
creatures 4
cuts 1
dara 2
day 1
death 4
descends 1
describes 1
device 1
diamonds 1
did 1
discuss 1
discussing 1
displays 1
dr 1
dragonlike 1
drawn 1
draws 1
dreamversion 1
drops 1
drums 1
during 3
dying 1
each 1
earlier 1
earth 3
earthone 1
efforts 1
emerging 1
end 1
enjoying 1
enlarged 1
ensues 1
enters 1
entirely 1
eponymous 1
eric 4
escape 2
especially 1
eventually 1
exploit 1
family 1
father 1
fearing 1
fight 1
fights 2
figure 1
find 2
finds 1
fiona 3
first 2
flanked 1
flora 3
for 9
force 1
forces 1
forged 1
form 1
former 1
found 2
framed 1
free 1
frightened 1
from 5
gain 1
gamble 1
ganelon 2
getting 1
ghostly 1
given 1
gives 2
glass 1
glimpse 1
gradually 1
grard 7
grayswandir 1
grazes 1
great 1
grove 2
guardedly 1
guardian 1
had 9
hangglide 1
hangs 1
happened 1
hard 1
has 6
have 3
having 1
he 30
headed 1
heads 3
heap 1
hearing 1
help 1
her 1
hides 1
high 1
higher 1
higherdimensional 1
hillary 1
him 19
himself 2
his 16
hitchhike 1
home 1
hopes 1
hoping 2
hospital 2
house 2
how 2
however 1
human 1
humanoid 1
humanoids 1
ideal 1
if 3
implicate 1
implications 1
impossible 1
imprisoned 2
in 19
innocence 1
innocent 1
insight 1
instead 2
intact 1
into 2
is 18
it 6
its 3
itself 1
jack 1
jewel 6
judgement 1
julian 2
just 1
keeping 1
kill 4
killed 4
killing 1
know 1
kolvir 2
land 1
late 1
later 1
lawyer 1
lay 1
learns 2
led 1
life 2
lit 1
long 1
malice 1
matters 2
may 1
meeting 1
memories 1
mental 1
metallic 1
metaphysically 1
might 1
missing 1
moments 1
moonlit 2
more 1
most 1
mount 1
murder 1
murderer 1
must 1
mysterious 1
name 1
near 1
nearing 1
new 2
nogth 3
not 2
notices 1
now 1
oberon 2
objected 1
octave 1
of 26
off 2
on 3
one 5
only 3
opposed 1
orbit 1
origins 1
other 2
others 2
out 6
overcome 1
pass 1
past 1
pattern 5
patterns 1
people 1
person 1
physically 1
picked 1
pillow 1
place 1
plan 1
plateau 1
play 1
points 2
poised 1
power 1
powerful 1
powers 1
primal 1
prismatic 1
project 1
properties 1
pull 1
pursued 3
pushes 1
pyrokinetic 1
queen 1
rand 1
random 13
reach 1
realize 2
realizes 1
received 1
recognizes 1
recover 2
relatively 1
remaining 1
removed 1
rescue 1
responsible 1
restore 1
retell 1
return 1
returns 2
road 1
room 2
rooms 1
roth 1
saying 1
says 2
see 2
seeking 2
seem 1
seen 1
sees 1
selectedcreated 1
sensible 1
set 2
shadow 8
she 4
shock 2
should 2
shoulder 1
siblings 3
since 1
situation 1
slow 1
so 3
some 2
someone 1
sought 1
speak 1
special 1
spined 2
spoke 1
stab 2
stabbed 1
stabbing 1
stairway 1
stand 1
statuelike 1
still 1
story 2
sufficiently 1
summons 2
sun 1
suspects 1
suspicion 1
sword 1
tale 1
teleports 1
tells 3
testing 1
texorami 1
than 1
that 18
the 64
their 3
them 2
themselves 1
then 4
therapybut 1
there 2
these 1
they 6
this 3
though 1
threatens 1
three 1
throne 2
through 6
time 1
tirna 3
to 60
told 1
too 1
tower 3
transparent 1
tried 2
triumvirate 1
true 1
trump 3
trumped 1
trumps 1
truth 1
try 1
trying 1
turns 1
two 1
unfamiliar 1
unicorn 3
unusual 1
up 4
upon 2
used 1
version 1
via 1
walks 1
wants 1
warns 1
was 5
watching 2
wearer 1
wearing 1
weather 1
weathercontrol 1
well 1
were 1
what 2
when 2
where 9
which 5
while 3
who 6
will 2
wishes 1
with 10
within 1
without 1
woken 1
wouldbe 1
york 1
