7221003
/m/025wktl
/m/025wktl
Andrew Clements

{"/m/06n90": "Science Fiction"}
a 10
after 5
air 1
alicia 1
an 1
and 12
are 1
argument 1
around 1
aspoon 1
astonishment 1
at 1
back 2
be 1
because 1
befriends 1
blind 2
bobby 5
brief 2
bumping 1
bundled 1
by 1
can 3
cane 1
car 1
cars 1
check 1
clothes 1
come 1
comes 1
conceal 1
convince 1
crash 1
cure 1
day 2
decide 1
dinner 1
discovery 1
door 1
downstairs 1
drinks 1
english 1
enters 1
family 1
father 1
find 4
float 1
for 1
freak 1
from 1
gave 1
get 3
gets 2
girl 2
glass 1
goes 4
gone 1
hands 1
he 21
heads 2
helps 1
her 6
him 2
himself 1
his 19
home 3
hospital 1
house 1
hurriedly 1
in 3
into 1
invisible 2
is 4
it 1
juice 1
known 1
learns 1
leave 2
leaves 1
left 1
library 2
listening 1
longer 1
major 1
make 1
mom 2
money 1
mother 2
naked 1
name 1
nap 1
next 1
nickname 1
no 1
not 1
of 3
off 2
on 1
one 2
only 1
orange 1
out 1
parents 7
permission 1
phillips 1
police 1
predicament 1
professor 1
realizes 1
retrieve 1
returning 1
returns 1
robert 1
room 2
says 1
scared 1
scarf 1
scientist 1
secret 1
see 2
seems 1
sees 1
self 1
she 3
so 2
start 1
stay 1
stumbles 1
takes 2
talking 2
taxi 1
that 4
the 13
then 1
there 2
they 3
things 1
this 1
three 1
time 1
to 17
together 1
told 1
trick 1
tries 1
trouble 1
try 1
tv 2
until 1
up 3
upon 3
uses 1
wakes 2
walk 1
was 1
watches 1
when 3
which 1
will 1
with 2
work 1
