23248597
/m/0660wdy
/m/0660wdy
Desmond Bagley
1973
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
a 3
across 1
adjust 1
and 4
another 1
assigned 1
awakes 1
bathroom 1
been 1
border 1
by 1
captors 1
compelled 1
dangerous 1
daughter 1
denison 1
discovers 1
down 1
dr 1
embark 1
escapade 1
face 1
feltham 1
find 1
finland 1
finnish 1
flat 1
from 2
giles 1
group 1
harold 1
has 1
he 2
him 1
himself 1
his 4
hotel 1
in 3
including 1
into 3
is 1
kidnapped 1
life 1
likeness 1
london 1
luxurious 1
man 1
meeting 1
meyrick 1
mirror 1
new 1
norway 1
of 2
on 1
oslo 1
out 1
peering 1
persona 1
play 1
role 1
russia 1
scientist 1
soviet 1
the 6
to 6
transformed 1
turned 1
upside 1
when 1
