12308208
/m/02vzstl
/m/02vzstl


{"/m/0dwly": "Children's literature"}
a 5
also 1
and 6
anonymous 1
archenemy 1
are 3
be 1
before 1
bets 2
buster 1
busybody 1
case 1
children 2
could 1
daisy 1
decide 1
discover 1
distraught 1
does 1
dog 1
else 1
fatty 1
find 1
five 1
for 1
frightened 1
girls 1
gladys 2
goon 1
gossip 1
has 1
he 1
her 2
home 1
hurry 1
in 3
involved 1
is 2
job 1
larry 1
leaves 1
letter 1
letters 3
list 1
lived 1
lover 1
maid 1
make 1
miss 1
mr 2
must 2
mystery 1
nosey 1
of 4
on 1
one 1
or 2
outers 1
parents 1
people 1
peterswood 1
pip 2
policeman 1
prison 1
receives 1
reveals 1
scottie 1
secret 1
sending 2
several 1
she 1
shocked 1
solve 1
someone 2
spiteful 1
starts 1
suspects 1
that 1
the 8
theft 1
their 4
they 2
tittle 1
to 2
village 2
when 2
which 1
who 1
writer 1
young 1
