18166606
/m/04cv30j
/m/04cv30j


{"/m/02n4kr": "Mystery"}
a 1
accused 1
across 1
also 1
an 1
and 4
antique 1
are 1
as 1
at 4
been 1
before 1
both 2
breakfast 1
bristol 2
byron 1
charity 2
colleague 1
david 3
dealer 1
down 1
during 1
eliot 1
england 1
english 1
events 1
father 1
former 1
france 3
french 1
friend 1
from 1
has 2
have 1
her 3
his 2
holiday 1
hotel 2
husband 1
in 4
is 6
john 1
johnny 1
loraine 1
louise 1
marriage 1
marsden 1
midlands 1
mrs 1
murder 1
now 1
of 1
on 1
parts 1
paul 1
plane 1
play 1
provence 1
pursuing 1
reads 1
richard 1
s 1
same 2
school 1
selborne 2
she 1
shelley 1
shot 1
son 1
staying 2
stepmother 1
subsequent 1
t 1
taken 1
taught 1
the 5
they 1
to 3
vry 1
war 1
was 1
west 1
who 3
widow 1
with 1
