1612950
/m/05gn8r
/m/05gn8r
Kelley Armstrong
2001-10-01
{"/m/03npn": "Horror", "/m/08sdrw": "Adventure novel", "/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 16
adexec 1
after 1
again 1
aid 1
alpha 3
also 6
an 1
and 19
antonio 1
any 2
are 6
arrives 2
as 4
assimilate 1
attacked 1
authorities 1
be 2
bear 1
become 1
been 2
being 2
best 1
bit 2
bite 1
bitten 1
body 2
bodyguard 1
boyfriend 2
brutalized 1
but 1
by 6
canada 1
character 1
chase 1
childhood 2
city 1
clay 3
clayton 2
comes 1
consent 1
contends 1
convicts 1
country 1
daniel 1
danvers 2
dare 1
deal 1
determined 1
do 1
dog 1
elena 7
escaped 2
especially 1
estate 1
even 1
existence 2
exlover 1
feel 1
female 1
fictional 1
fight 1
fighters 1
figures 1
finally 1
find 1
first 1
flying 1
for 1
form 1
fosterson 1
found 1
free 1
from 2
gives 1
go 1
governing 2
greatly 1
greeted 1
had 1
happen 1
happens 1
has 5
hate 1
he 1
help 1
her 13
him 2
his 1
however 2
human 2
humans 2
if 1
ignoring 1
in 8
into 5
is 9
it 1
jeremy 2
jonsen 1
keep 1
kill 3
killed 2
killer 1
killers 1
known 1
land 1
leader 1
learns 2
lives 1
living 1
local 1
logan 3
made 1
main 1
man 2
managed 1
means 1
michaels 1
more 1
most 1
much 1
murdered 2
mutt 4
mutts 2
myers 1
near 1
new 1
newspaper 1
nicholas 1
non 1
normal 1
not 2
noticeable 1
noticed 1
of 9
often 1
on 2
one 1
only 1
ordinary 1
other 1
otherness 1
out 2
pack 13
particular 1
partyers 1
peter 3
phillip 1
place 1
police 1
popular 1
possible 1
problem 1
rave 1
reason 1
recently 2
rest 1
rogue 1
rule 1
saddens 1
savaged 1
scene 1
secret 1
selfappointed 1
settle 1
several 1
she 8
shoot 1
side 1
sleepingcheating 1
somewhat 1
son 1
soon 1
sorrentino 2
special 1
started 1
starts 1
stonehaven 2
struggles 1
telling 1
term 1
terrible 1
terrified 1
that 6
the 33
their 2
them 2
themselves 1
then 1
they 7
this 4
thought 1
tired 1
to 17
too 1
toronto 1
track 1
trouble 1
trying 1
turned 2
turning 1
upstate 1
valley 1
very 1
was 2
werewolf 10
werewolves 3
what 1
when 1
who 6
why 2
with 7
without 2
wolf 2
wolveswhom 1
woman 2
wonder 1
wonders 1
world 4
would 2
writes 1
york 1
