3442022
/m/09cmhy
/m/09cmhy
Anne McCaffrey
1990-03
a 7
abe 4
able 1
academy 2
adopted 1
adopts 1
after 1
again 1
against 1
all 3
always 1
an 2
and 14
another 1
any 1
are 2
as 1
assassination 1
at 2
attack 2
be 2
become 1
before 1
begins 1
both 1
but 4
by 3
called 1
captured 1
carrier 1
celebrating 1
colonies 1
colonists 1
colonized 1
comes 2
confronted 1
conscious 1
counseled 1
death 1
defense 1
deployment 1
depot 2
dinner 1
discipline 1
end 1
enough 1
enters 1
excels 1
exfleet 1
exported 1
family 2
firepower 1
first 1
fleet 4
for 2
free 1
futile 1
gets 1
go 1
goes 1
goods 1
graduation 1
have 1
he 1
her 13
hunt 1
imbedded 1
imbeds 1
improved 1
in 1
instead 1
is 14
it 1
its 1
killed 1
live 1
message 2
mind 1
more 1
navigator 1
never 1
newly 1
night 1
no 1
numbers 1
of 2
off 1
officer 1
officers 1
on 5
once 2
only 1
or 1
orphan 1
other 1
out 2
own 1
parents 1
people 1
pirates 3
planet 2
prepschool 1
production 1
put 1
quest 1
receive 1
remembered 1
rescued 1
sassinak 4
she 11
ship 3
siblings 1
skill 1
skills 1
slave 4
slaves 1
sold 2
soon 1
stars 1
superior 1
suspects 1
taken 1
takes 1
task 1
teaches 1
that 3
the 15
their 2
to 7
training 1
two 1
under 1
up 1
wants 1
when 4
where 1
who 1
will 2
with 1
without 1
witnesses 1
work 1
world 1
worlds 1
year 1
