5886604
/m/0fbx41
/m/0fbx41
Gareth Roberts

{"/m/06n90": "Science Fiction"}
1st 1
a 13
accident 1
against 1
along 1
also 1
an 1
and 11
apparently 1
archaeologists 2
archeologist 1
are 2
arm 2
as 2
at 2
attempt 1
attempts 1
bargaining 1
bargains 1
because 1
becomes 1
been 1
before 1
befriends 1
bunker 1
by 3
came 1
can 1
causes 1
causing 1
century 1
change 1
chip 1
cold 1
colour 1
comes 1
confused 1
confusing 1
creature 1
custody 1
dalek 10
dalekhuman 1
daleklike 1
daleks 1
day 1
dead 2
decommissioned 1
dematerializes 1
desire 1
destroys 1
dig 2
disable 1
disarm 1
discover 1
discovered 1
doctor 7
down 1
earlier 1
earth 3
encouragement 1
england 1
enjoy 1
escape 1
eventually 2
every 1
exboyfriend 1
exponentially 1
exterminate 1
factor 1
fashion 1
few 1
finds 1
for 2
form 1
friend 1
from 1
giving 1
go 1
gun 2
hair 1
has 2
he 1
her 4
himself 1
his 1
however 2
human 2
humanity 1
hybrid 1
in 7
increase 1
individuals 1
influence 1
injected 1
instead 1
intellect 1
intelligence 1
into 1
is 3
it 4
its 2
itself 1
kate 8
killed 1
killing 1
kills 1
manages 1
meanwhile 2
military 1
millennia 1
moon 1
more 1
much 1
named 1
new 1
newfound 1
of 8
on 4
one 1
only 1
order 1
outside 1
own 1
personality 2
planet 1
preaccident 1
preparing 1
present 1
presentday 1
proceeds 1
reacquire 1
reactivates 1
reassert 1
recognizing 1
regenerate 2
result 1
retained 1
returning 1
reunite 1
revealed 1
revived 1
roman 1
rose 8
ruins 1
same 1
seaside 1
self 1
separated 1
she 2
shell 1
ship 1
site 2
small 1
spree 1
starting 1
still 1
taken 1
tardis 2
technology 1
that 2
the 33
them 1
they 1
this 1
time 3
to 15
town 2
tracks 1
traffic 1
travel 1
tries 1
tyler 1
unites 1
unknown 1
unsuccessfully 1
upon 1
use 1
visit 1
volition 1
war 1
warera 1
when 2
where 2
which 2
while 1
who 2
with 6
witnesses 1
woman 1
young 1
