306344
/m/01skl3
/m/01skl3
Agatha Christie

2 2
a 32
abandoned 2
abducted 1
able 1
about 1
activities 1
admits 2
after 4
afterwards 1
aloud 1
also 3
altar 1
always 1
an 9
and 29
ann 1
anne 1
another 1
any 1
anyone 1
apparently 1
appear 1
apple 2
applebobbing 1
ardley 1
are 6
ariadne 1
as 4
asks 1
assistant 1
at 4
attack 1
attempt 1
attended 1
au 1
aunt 1
authorities 2
away 1
back 1
be 5
beatrice 1
because 2
been 8
before 2
being 1
believe 4
benfield 1
between 1
blackmail 1
blackmailing 1
body 1
bond 1
brother 2
built 1
but 3
butler 6
by 9
called 1
can 1
candidate 2
cant 1
carrying 1
cathie 1
caused 1
charge 1
charlotte 1
children 1
claimed 1
clerk 1
close 2
closest 1
clumsy 1
codicil 2
coming 2
comment 1
commits 1
conceal 1
confirms 1
consists 1
construct 1
continues 1
contradicted 1
control 1
corpse 1
could 1
course 1
daughter 3
day 2
dead 2
deal 1
death 2
deceit 1
defeat 1
depraved 1
depths 1
designed 1
desire 1
desmond 2
details 1
did 1
died 1
dig 1
disappeared 1
discovered 3
doesnt 3
doing 1
door 1
downstairs 1
dr 1
drake 16
drink 1
dropped 2
drowned 3
either 2
elizabeth 3
elms 1
emlyn 1
ends 1
estate 1
ever 1
everyone 2
evidence 2
evil 2
exsuperintendent 1
fact 1
faked 1
familial 1
fantasist 1
fate 1
fateful 1
ferguson 1
ferrier 5
first 2
fitting 1
floor 1
flower 1
flowers 1
for 8
forgery 3
fortune 1
found 2
fraud 1
friend 3
from 2
front 1
future 1
game 1
garden 6
garfield 10
garfields 1
get 1
girl 2
girls 1
give 1
gives 1
goes 3
goodbody 1
got 1
granted 1
great 1
greek 1
greeted 1
group 1
guest 1
had 16
hadnt 1
hall 1
halloween 2
halloweenrelated 1
handsome 1
has 4
have 6
having 1
he 8
head 2
headmistress 1
hear 1
heard 2
heart 1
help 2
her 12
hercule 5
him 3
his 9
holding 1
holland 2
house 2
husband 2
husbands 1
hypothesises 1
if 2
illegitimate 1
important 1
impress 1
in 13
include 1
including 1
inheritance 2
injuries 1
inside 1
intended 1
intentionally 1
interview 1
interviewed 1
interviewing 1
into 2
intuits 1
invalid 2
invent 1
investigation 1
inveterate 1
involve 1
is 10
island 1
it 3
its 1
janet 2
johnson 1
joyce 25
judith 3
just 1
kill 1
killed 1
killers 1
killing 1
knew 1
know 1
landing 1
late 1
later 1
lavatory 1
lawyer 1
leading 1
leaving 1
leopold 7
lesley 5
liar 1
library 3
like 2
list 1
little 1
llewellynsmythe 6
london 1
longer 1
look 2
looking 1
lover 1
lunch 1
lying 1
made 1
man 1
many 1
mathematics 1
may 1
meanwhile 1
meets 3
men 1
met 1
michael 8
might 5
miranda 9
mirror 2
miss 2
missing 1
moment 1
money 1
most 1
mother 1
motivation 1
motive 1
mrs 21
multiple 1
murder 13
murdered 1
murderer 1
murdermrs 1
murders 3
named 2
narcissistic 1
next 2
nicholas 2
night 1
no 1
not 4
now 1
obliges 1
obsessive 1
obviously 1
of 25
old 2
older 1
olga 8
oliver 8
on 2
once 3
one 2
open 1
or 1
other 3
others 2
out 3
over 1
own 2
pagan 1
pair 1
party 7
partygoers 1
patient 1
perfect 1
persuaded 1
persuades 1
picture 1
piece 1
pieces 1
place 2
played 1
playing 1
plays 1
poirot 18
poison 1
police 1
possible 1
possibly 1
preparing 2
present 1
pretext 1
prevented 1
previously 1
prizes 1
probable 1
produced 1
provide 1
purchased 1
quarry 4
ransom 2
rather 2
real 1
reflected 1
relation 1
remains 1
rendered 1
repeats 1
replaced 1
revealed 1
reveals 2
reynolds 4
reynoldses 1
role 2
rowena 13
sacrificial 1
safely 1
said 1
saw 7
say 1
says 2
school 1
schoolteacher 1
secretly 1
secure 2
seeking 1
seen 3
seminoff 2
sends 1
sensed 1
sexuallyfrustrated 1
she 17
shop 1
sight 1
similar 1
since 1
sister 2
situation 1
sixteenyearold 1
snapdragon 3
so 1
some 1
someone 3
something 1
soon 1
spence 2
spends 1
stabbed 2
startled 1
starts 1
stood 1
stop 1
story 3
strangled 1
strangulation 1
striking 1
subsequently 1
suggestive 1
suicide 1
sunken 1
supper 1
suspected 1
suspicion 1
suspicious 1
swallowing 1
taken 1
takes 1
talented 1
teacher 1
teenagers 1
tell 1
telling 2
tells 3
that 27
the 58
their 1
them 2
then 1
there 2
they 2
think 1
thinks 3
thirteenyear 1
those 1
thought 1
time 1
to 35
together 1
told 1
took 1
trail 1
trees 2
tremendous 1
tries 1
truth 1
tub 1
two 2
ultimately 1
uncover 1
under 1
up 1
upset 1
use 1
used 1
vase 2
very 1
village 1
visits 1
was 17
watching 2
well 1
went 2
were 4
wet 1
what 4
when 3
where 1
which 5
while 3
white 2
whittaker 3
who 12
whole 1
whom 2
widow 1
wife 1
will 3
willingness 1
witch 1
with 6
within 1
witnessed 4
women 1
wonder 1
wonders 1
working 1
would 3
years 1
young 3
younger 2
