2591880
/m/07q8k4
/m/07q8k4
Dale Smith

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
6048 1
a 2
ace 3
actually 1
all 2
also 1
and 5
announcing 1
are 2
arrive 1
as 1
at 1
because 1
bush 1
but 2
by 3
cant 1
caught 1
certainly 1
chances 1
clone 1
cloning 2
companion 1
confronts 1
created 1
daughter 1
day 1
discoveries 1
disrupt 1
doctor 6
doesnt 2
experiments 1
finds 1
for 1
friends 1
get 1
going 1
have 1
he 2
help 1
her 1
heritage 2
herself 1
heyworth 1
heyworths 2
his 3
in 3
into 1
involved 1
is 4
it 1
killed 1
landslide 1
lee 1
marks 1
melanie 1
mother 2
murdered 1
next 1
nobody 1
noses 1
not 1
nothing 1
of 3
old 2
on 3
out 1
planet 1
poking 1
probably 1
professor 2
revenge 1
ruins 1
seems 1
seventh 1
she 1
stuck 1
surviving 1
suspects 1
sweetness 2
take 1
talking 1
technology 1
tell 1
that 3
the 15
their 1
them 1
there 1
they 2
this 1
threatened 1
to 7
townsfolk 1
tries 1
universe 1
until 1
visit 1
wakeling 4
want 2
were 1
what 1
who 1
without 1
would 1
year 1
