27715209
/m/0cc5s6k
/m/0cc5s6k
Nora Roberts

a 11
add 1
affairs 1
after 1
alex 3
all 1
also 1
amaryllis 1
and 6
another 2
appears 1
around 1
as 2
assistant 1
at 2
atlanta 1
away 1
back 2
be 1
been 2
before 1
beginning 1
being 1
blame 1
body 1
bureau 1
by 1
cage 1
call 1
called 1
case 2
charles 1
charlotte 1
cher 1
chief 1
clues 1
coltraine 4
companion 1
connection 1
contact 1
dallas 1
daughter 1
dead 1
death 1
debrief 1
delia 1
detective 1
detectives 2
digging 1
dimatto 1
discover 1
discussion 1
dispatch 1
donald 1
duty 1
emotion 1
ends 1
eve 8
evidence 1
examiner 1
explaining 1
extract 1
fallout 1
fellow 1
following 1
for 3
former 1
friend 1
friends 1
friendship 1
from 5
further 1
georgia 1
gets 2
good 1
has 1
have 4
her 8
him 2
his 1
homicide 1
hosting 1
however 1
humorous 1
illegitimate 1
impressions 1
in 5
informing 1
initial 1
internal 1
investigate 1
is 3
it 1
kill 1
killer 4
known 1
leads 1
li 1
licensed 1
louise 1
lover 1
marrying 1
mavis 1
max 2
may 3
meanwhile 1
medical 1
middle 1
minor 1
mira 1
monroe 1
morris 1
never 1
new 1
nypsd 1
of 10
officer 1
on 3
one 1
ordered 1
out 2
own 1
partner 1
peabody 2
performing 1
personal 1
point 1
police 1
precinct 3
private 1
putting 1
reactions 1
reo 1
requested 1
requests 1
reveals 1
revenge 1
revolves 1
ricker 3
rickerwho 1
roarke 2
rod 1
sandy 1
sense 1
set 1
she 3
shot 1
shower 2
sit 1
son 1
steer 1
stunner 1
subplot 1
suggests 1
suspect 1
tackled 1
tend 1
that 4
the 20
they 1
to 11
transfer 1
up 2
victim 3
was 3
webster 1
wedding 1
well 1
where 1
which 1
who 3
with 3
woman 1
worked 2
york 1
