15584906
/m/03mgjm6
/m/03mgjm6
Flint Dille
1986
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
13 5
a 3
about 1
advisor 1
against 1
agent 5
all 1
allies 1
almost 1
along 1
also 2
ambushed 1
an 3
and 9
approach 1
around 1
arrange 1
as 2
assassin 1
assassins 2
at 2
awful 1
back 6
battling 1
be 5
been 1
before 2
being 1
believed 1
bethesda 1
board 1
book 1
braddock 2
brainwashed 1
brainwashing 1
brief 1
brink 1
brotherhood 5
brought 1
but 1
by 3
cackled 1
charge 1
china 2
claimed 2
clues 2
combust 1
completion 1
comprehend 1
consume 1
continue 1
cooperation 1
could 1
council 1
damages 1
darr 3
dead 1
death 1
decided 1
departure 1
despite 2
did 1
die 1
disasters 1
diva 1
doom 1
drank 1
due 1
during 2
emerging 1
end 2
enough 1
events 2
fears 1
felt 1
feverishly 1
fight 1
fighting 1
fire 1
first 1
fished 1
for 3
forced 1
former 1
frankly 1
from 2
fully 1
gain 1
general 1
given 1
giving 1
gleefully 1
gun 1
had 3
he 7
headquarters 1
her 4
herself 1
high 1
him 6
his 7
horror 1
hospital 1
hunter 1
ignorant 1
impending 1
impossible 1
in 8
injured 1
investigate 2
involved 1
itsu 1
jindadii 1
job 1
just 1
kent 1
knew 1
lair 1
lightning 1
linked 1
loved 2
made 1
maggie 4
man 1
managed 2
mantha 1
masque 1
massacre 1
meanwhile 1
members 1
mentor 1
mind 1
mission 3
moment 1
moments 1
murder 1
name 1
national 2
naval 1
nemesis 1
new 3
normandie 1
not 1
nothing 1
odds 1
of 12
oil 1
ominous 1
on 3
original 1
other 1
out 1
over 1
pattern 1
persona 1
picture 1
prevail 1
previously 1
priest 1
programmed 1
project 1
providing 1
recuperating 1
remember 1
resisted 1
responsibility 1
reviewed 1
sail 1
saw 1
secretly 1
security 2
sent 2
serpentine 1
she 8
situation 1
source 1
spitefully 1
ss 1
still 2
success 1
suffered 1
suggested 1
support 1
swore 1
tears 1
that 1
the 36
time 1
to 21
together 1
told 1
towards 1
training 1
transported 1
tredekka 1
trigger 1
turn 1
unearthing 1
unexpected 1
unknown 3
unmistakably 1
unnoticed 1
upon 1
vague 1
valiantly 1
vicious 1
walters 3
was 9
watched 1
watching 1
waters 2
way 1
what 1
where 1
which 4
white 2
who 4
with 2
woman 1
working 1
would 3
yet 1
york 3
