10725417
/m/02qncmk
/m/02qncmk
Howard Spring

{"/m/02xlf": "Fiction"}
147 1
182 1
20th 1
a 11
absorbed 1
accurately 1
active 1
activist 1
also 1
an 1
ancoats 1
and 6
appear 1
are 4
aristocratic 1
as 4
aspirational 1
associates 1
at 2
author 1
based 1
be 1
because 1
becomes 2
begun 1
book 3
boy 1
britain 1
by 2
called 1
capitalist 1
career 2
careers 1
cause 1
central 2
century 1
changed 1
character 3
characters 2
class 1
classes 1
coal 1
combating 1
communities 1
cyfame 1
descriptions 1
despite 1
detailedthere 1
differences 1
eminence 1
especially 1
eventually 1
fact 2
fair 1
fairly 1
faithful 1
fame 1
family 1
feeding 1
film 1
fire 1
for 1
forcible 1
friends 1
from 1
give 1
gives 1
graphic 1
growth 1
had 1
hamer 3
hardie 1
hardships 1
hartley 1
he 2
his 2
historical 1
however 1
hunger 1
ignores 1
impression 1
imprisonment 1
in 8
is 8
keir 1
labour 1
lie 1
life 1
losing 1
macdonald 1
major 1
manchester 1
many 2
marketboy 1
michael 1
middle 1
militant 1
mining 1
more 1
movement 1
name 1
obviously 1
occasionally 1
of 13
often 1
on 1
one 1
parallels 1
part 1
particularly 1
party 1
personalities 1
pigottsmith 1
politician 2
portrayed 2
poverty 1
ramsay 1
rather 1
redgrave 1
remain 1
revolutionary 1
rise 1
series 1
shawcross 6
similarities 1
socialist 1
soon 1
sounds 1
south 1
spur 2
starring 2
starts 1
story 1
straightforward 1
strikers 1
studious 1
subtler 1
subtleties 2
such 1
suffrage 1
summary 1
sympathetically 1
sympathies 1
taken 2
tale 1
than 1
that 2
the 24
their 2
there 3
this 1
though 1
tim 1
time 1
to 4
treatment 1
turn 1
tv 1
up 1
upper 1
wales 1
was 2
who 3
whose 1
with 2
women 1
workingclass 1
