8202045
/m/058bwv
/m/058bwv
Theodore Dreiser
1912
1871 1
1873 1
a 8
affair 1
affluent 1
after 2
again 1
age 1
aid 1
aileen 1
also 1
although 1
an 2
and 5
apart 1
as 1
attempts 1
back 1
banker 1
bankrupt 1
be 1
becomes 1
being 2
browbeat 1
butler 2
buying 1
by 2
cheap 1
chicago 1
city 1
company 2
corrupt 1
cowperwood 1
crash 1
decides 1
dies 1
divorces 1
exposed 1
faith 1
family 1
father 2
fire 1
first 1
for 3
frank 2
from 2
funds 1
gets 1
girl 1
great 1
grocer 1
grows 1
has 1
he 7
henry 1
her 2
him 3
his 6
in 7
influence 1
intimidating 1
invests 1
is 1
it 1
jail 2
job 1
later 1
leaves 1
life 1
losing 1
makes 1
market 2
marries 1
meanwhile 1
millionaire 1
misusing 1
money 1
move 1
mr 2
municipal 1
new 1
of 5
on 1
out 2
over 1
own 1
panic 1
party 1
philadelphia 2
politicians 1
practices 1
profit 1
prompting 1
redounds 1
released 1
republican 1
scapegoat 1
selling 1
sentence 1
sentenced 1
she 2
soaps 1
sometime 1
spite 1
start 1
starts 1
stener 1
stock 1
stocks 1
subsequent 2
the 8
their 2
them 1
tighe 1
to 10
treasurer 1
use 2
vows 1
wait 1
waterman 1
way 1
west 1
whose 1
widow 1
wife 2
with 3
years 1
young 2
