15612171
/m/03mhp1q
/m/03mhp1q
Fatema Mernissi
1994
140s 1
150s 1
a 1
adolescence 1
adult 1
and 6
are 1
at 1
belonging 1
between 1
both 1
but 1
childhood 2
colonial 1
conceptsthroughout 1
concern 1
constantly 1
convenience 1
countryside 1
cousin 1
definition 1
details 1
discussing 1
during 1
early 1
equally 1
fez 2
for 1
forces 1
french 1
frontiers 1
geographically 1
grandfather 1
growing 1
harem 4
her 3
hudud 1
in 4
is 1
memoir 2
mernissi 3
moroccan 1
morocco 1
narrates 1
nationalists 1
nature 1
of 5
open 1
particular 1
questions 1
sacred 1
samir 1
tension 1
the 11
they 1
to 1
traditional 3
truth 1
versus 1
walled 1
young 1
