7534915
/m/0264nlh
/m/0264nlh
Guillermo Martínez

a 5
accompanied 1
appears 1
are 1
argentine 1
arthur 1
be 2
book 1
by 2
can 3
circle 1
clues 1
cryptic 2
death 2
decode 1
different 1
each 1
eagleton 1
explains 1
form 2
graduate 1
hard 1
heralds 1
how 1
if 1
in 3
is 2
it 2
joined 1
key 1
killer 1
landlady 1
leading 1
logician 1
math 1
mathematical 3
mathematician 1
mathematics 1
mrs 1
murders 1
mysterious 1
narrates 1
new 1
next 1
occurs 1
of 3
on 1
only 1
oxford 1
pure 1
quest 1
seldom 1
sequence 2
serial 1
shape 1
solve 2
somebody 1
starting 1
stopped 1
story 1
symbol 1
symbols 1
that 2
the 12
this 2
thriller 1
to 3
who 1
with 1
young 1
