424956
/m/026y6f
/m/026y6f
Patrick Süskind
1985
1415 1
17 1
1738 1
24 2
7 1
a 62
about 1
accepted 1
accused 1
across 1
act 1
adopt 1
affection 1
afraid 2
after 10
again 1
against 2
aging 1
agreement 1
agrees 1
air 1
alembic 2
all 10
along 1
also 1
altitudes 1
always 1
amateur 1
ambitions 1
ambrosial 1
among 1
an 4
and 81
animals 2
any 2
anyone 1
anything 2
appearance 1
apprehended 1
apprenticed 1
apprenticing 1
approaches 1
are 4
around 1
as 16
asleep 1
at 13
avoiding 1
avoids 1
away 5
baby 2
back 1
backdrop 1
bad 1
baldini 5
barely 1
basic 1
basket 1
be 6
beating 1
beautiful 2
became 1
become 2
becomes 2
been 1
before 4
being 6
believe 1
believes 2
beloved 1
best 1
better 1
bias 1
birth 2
bit 2
blessed 1
blizzard 1
body 4
book 1
born 1
bring 1
brought 1
bussie 1
but 10
butcher 1
by 15
calm 1
can 8
cannot 1
cant 1
capture 1
capturing 1
carnal 2
cat 1
catches 1
categories 1
caught 1
causes 1
cave 1
central 1
chain 1
cheese 1
cherish 1
child 4
children 1
church 1
city 6
clamps 1
clean 1
climbed 1
closed 1
closer 1
clothes 2
clothing 1
coarse 1
cold 1
combined 1
combines 1
completing 1
concerned 1
confusion 1
consuming 1
contact 1
contemplating 1
contempt 1
continue 1
controlling 1
cord 1
could 3
counteract 1
countryside 1
couple 1
covered 1
crawls 1
create 2
creates 1
creation 1
creator 2
cries 1
crimes 1
cuddles 1
curious 1
cuts 1
day 5
daze 1
de 1
death 2
deathbed 1
decapitated 1
decides 2
decontamination 1
deep 1
deepest 1
desire 3
destroyed 1
devil 3
did 2
die 2
dies 3
different 1
dirt 3
disappears 2
discern 2
discovers 3
disgraceful 1
disguise 1
disgusted 2
dissect 1
distillation 1
divine 1
do 3
does 5
done 1
dons 1
down 2
draw 1
dreaming 1
dreams 1
drinks 1
drunk 1
dry 1
due 3
during 2
easily 1
eat 1
eaten 1
either 1
embarrassed 1
entranced 1
erupting 1
essences 1
etc 1
even 3
event 1
eventually 2
ever 1
every 5
examines 1
except 1
executed 1
execution 2
expects 1
experiments 2
explores 1
extraordinary 1
eye 1
eyes 1
fabricated 1
falls 4
far 1
father 2
favourite 1
fear 2
feces 1
fed 1
feel 1
feels 2
felt 2
fetid 1
few 1
fight 1
fighting 1
finally 1
find 1
finds 3
fine 1
first 6
fish 2
flees 1
fluidum 3
fog 2
fooled 1
foolish 1
for 18
found 2
four 1
france 1
free 1
freezes 1
french 1
frog 1
from 12
fulfilled 1
gathered 1
gathering 1
gear 1
gentleman 1
get 4
gets 2
girl 7
girls 1
give 1
given 2
gives 3
giving 1
glass 1
go 1
god 3
going 2
good 2
got 1
grand 1
grasse 5
great 3
greater 2
greatest 2
greed 1
greedy 1
grenouille 41
grew 1
grime 1
ground 5
group 1
grown 1
guilty 1
guts 1
had 10
hand 1
happiness 1
happy 1
has 13
hate 2
have 3
haven 1
having 2
he 80
heads 1
heart 1
helps 1
her 18
hidden 1
hide 1
high 1
him 17
himself 7
his 49
home 1
hours 1
how 2
however 3
human 3
humanity 1
humans 2
if 1
ill 1
imagining 1
imitates 1
in 30
including 2
infanticide 1
ingredients 1
inorganic 1
inside 2
instead 2
intact 1
internal 1
into 10
intoxicated 1
intoxicating 1
iron 1
is 36
isolate 2
it 10
its 3
jeanne 1
journey 1
journeyman 2
journeys 1
july 1
jump 1
just 5
keep 2
kept 1
kidnapped 1
kill 1
killing 1
kills 1
knives 1
know 1
knowing 2
knows 1
la 1
laboratory 1
lack 1
laps 1
later 5
laure 9
layer 2
lays 1
