31396497
/m/0gkxww_
/m/0gkxww_
Raymond E. Feist
2004-04-01
{"/m/01hmnh": "Fantasy"}
a 5
accept 1
after 1
allegiance 1
alone 1
already 1
among 1
an 1
and 7
argent 1
army 1
as 3
be 3
been 1
benefactors 1
binds 1
boy 1
but 2
carnage 1
cause 1
children 1
chosen 1
colors 1
come 1
destiny 1
discovered 1
distant 1
done 1
du 1
duke 1
earnestly 1
evil 1
exterminating 1
faucon 1
for 2
forever 1
frserre 1
has 2
hawk 1
he 3
high 1
him 4
his 4
honor 1
hunting 1
into 1
is 3
kiele 2
land 1
life 1
longer 1
lost 1
men 1
mercy 1
midkemia 1
mission 1
molded 1
mountains 1
must 1
mysterious 1
named 1
no 1
not 1
now 1
of 6
olasko 1
one 2
only 1
or 1
path 1
pitiless 1
prey 1
razes 1
remains 1
rescuers 1
road 1
shadowy 1
silver 1
slaughtering 1
snowcapped 1
so 1
stalks 1
sure 1
survivor 1
swear 1
talon 2
that 2
the 10
there 1
to 3
travel 1
tutelage 1
under 1
vengeance 1
village 2
weapon 1
wearing 1
well 1
when 1
who 1
will 4
without 1
women 1
young 1
youth 1
