23002371
/m/064lj24
/m/064lj24
Jeffery Deaver
1988
{"/m/0lsxr": "Crime Fiction"}
a 10
adapted 1
adventure 1
against 1
already 1
also 2
an 1
and 4
answer 1
arrived 1
at 1
b 2
based 1
beat 3
been 1
being 1
believe 1
bishop 1
but 1
by 2
called 1
city 1
collection 1
conviction 1
convinced 1
crime 1
dangerous 1
dead 1
dont 1
double 2
draws 1
empty 1
endings 1
film 1
finds 1
for 1
found 1
goes 1
has 1
her 3
herself 1
hide 1
him 2
hollywood 1
however 1
in 5
interest 1
into 1
is 6
it 1
job 1
john 1
kelly 1
landed 1
lets 1
lies 1
lisa 1
loft 1
lonely 1
long 1
man 1
manhattan 3
media 1
meets 1
movies 1
mr 1
my 3
mystery 1
new 1
not 1
nothing 1
novel 1
of 1
old 3
on 1
optioned 1
other 1
over 2
partners 1
police 1
productions 1
pursue 1
rents 1
robbery 1
routine 1
rune 3
same 1
she 3
square 1
squat 1
stop 1
store 1
story 1
streetwise 1
suspect 1
tape 3
that 2
the 7
this 1
those 1
to 3
true 2
truth 1
twenty 1
video 2
visit 1
washington 1
when 1
where 1
who 2
will 1
with 1
year 1
york 1
