28824609
/m/0dddmg2
/m/0dddmg2
Rosemary Sutcliff
1977
a 9
account 1
after 3
again 1
allows 1
an 1
and 14
appearance 1
are 6
around 2
art 1
as 4
associated 4
assumed 1
at 1
attraction 1
attribates 3
attributes 2
bargain 1
battle 1
becomes 1
been 2
being 4
between 1
blood 1
both 1
bough 1
brothers 1
by 4
carved 1
celtic 2
celts 1
chieftain 4
chthonic 1
closeness 1
color 1
comes 1
completion 1
complexions 1
conflicting 1
connects 1
conquering 1
consecration 1
considered 2
contrast 1
credited 1
cultural 2
culture 1
cultures 2
dark 2
darker 3
depiction 1
derives 1
descends 1
dhu 6
differences 1
different 1
down 1
dubh 1
duties 2
duty 3
earth 1
epona 1
fair 1
father 2
figure 1
finds 1
for 2
fore 1
frazer 1
free 1
from 3
fulfilling 1
gaelic 1
going 1
golden 1
hair 1
have 1
having 1
he 2
her 1
hillside 1
himself 2
his 10
horse 5
how 1
husband 1
iceni 3
if 1
in 2
including 1
individuals 1
influenced 1
intertwined 1
invocation 1
is 5
james 1
killed 1
king 1
later 1
lay 1
leader 1
leadership 1
life 1
little 2
lord 1
lubrin 7
lunar 1
made 1
many 1
mark 1
married 1
matrilineal 1
monumental 1
moon 1
much 1
name 1
needed 1
nominal 1
novel 2
novels 1
occupied 1
of 18
offering 1
older 1
on 1
original 1
outside 1
people 6
performed 1
personality 1
place 1
point 1
possible 1
predated 1
reader 1
reflecting 1
reflects 1
reigning 1
related 1
reserved 1
revolves 2
sacrifice 1
sacrifices 1
settlers 1
shown 1
sister 1
skin 1
solar 1
somewhat 1
son 2
status 1
story 1
strikes 1
strong 1
subjugated 1
sun 1
sunset 1
survivors 1
sword 1
takes 1
the 38
their 2
theme 1
this 2
those 1
title 1
to 10
tribe 4
uffington 1
ultimately 1
upbringing 1
vanquished 1
view 1
voluntarily 1
when 1
which 1
white 1
who 6
whose 1
will 1
with 8
within 1
witness 1
woman 1
younger 1
