4611702
/m/0cckxl
/m/0cckxl
William Golding
1955
a 10
abilities 1
actions 1
adults 2
afraid 2
all 1
alone 1
also 1
amazement 1
among 1
an 4
and 15
another 1
apparent 1
appear 1
are 9
as 6
assume 1
at 2
band 3
be 2
beast 1
becomes 1
been 1
behaviour 1
beings 1
believe 1
between 1
boats 1
bringing 1
broken 1
bury 1
but 2
by 6
carry 1
centring 1
chapter 3
chapters 1
character 1
chase 1
connect 1
considerable 1
constructs 1
create 1
culture 2
dead 1
describes 1
despair 1
devils 1
die 1
different 1
dont 1
early 2
eat 1
eg 1
employs 1
enamoured 1
eternal 1
exercise 1
extensive 1
fa 1
fascinated 1
feelings 1
female 1
filter 1
final 1
fire 1
first 1
firstperson 1
fleeing 2
follow 1
food 1
for 2
forest 1
forth 1
from 4
gesture 1
gives 1
godlike 1
golding 1
group 2
harm 1
has 1
have 3
he 1
heartfelt 1
hinting 1
homo 1
human 2
humans 6
hyaenas 1
hypothesis 1
imaginative 1
impressions 1
in 9
infant 1
inhabiting 1
inheritance 1
interbreeding 1
is 5
it 2
kill 2
killed 1
kinds 1
knowledge 1
larger 1
last 2
later 2
least 1
less 1
life 1
like 1
live 1
lived 1
lives 1
living 1
lok 4
mammals 1
mastery 1
meant 1
meat 1
memories 1
mental 1
might 1
modern 5
more 3
mostly 1
move 1
much 1
neanderthal 1
neanderthals 5
neartelepathic 1
new 5
novel 4
observations 1
observe 1
observing 1
of 23
omniscient 1
on 1
one 6
only 2
or 4
palaeolithic 1
paleoanthropology 1
penultimate 1
people 4
perspective 2
point 3
portrayed 1
powerful 1
precursors 1
present 3
principle 1
progresses 1
race 1
reader 3
readers 1
realizes 1
recognize 1
reconstruction 1
reinforces 1
religion 1
remaining 1
repelled 1
revealing 1
rituals 2
roots 1
sacrifice 1
sailing 1
sapiens 1
save 1
seasons 1
sense 1
serve 1
shaped 1
share 1
simple 1
simply 2
simultaneously 1
slowly 1
so 1
societal 1
solemn 1
something 1
sometimes 1
sources 1
speak 1
species 1
spiritual 1
stark 1
sticks 1
stolen 1
strange 1
stylistic 1
such 1
system 1
terribly 1
that 6
the 40
their 7
them 1
themselves 2
then 1
they 12
this 2
thoughts 1
through 1
time 1
to 6
totally 1
understanding 1
up 1
upper 1
us 1
using 1
vegetables 1
very 2
view 3
viewpoint 1
vocabulary 1
war 1
way 2
we 2
weaponry 1
which 1
whom 2
wide 1
will 1
with 3
without 1
witness 1
world 1
written 3
young 1
