407392
/m/024m3t
/m/024m3t
Mark Twain
1889
1203 1
1300 2
14 1
17 1
1th 2
1thcentury 2
20 1
21st 1
22 1
30000 1
52 1
528 1
6thcentury 1
a 62
able 3
abolish 1
about 4
absence 1
absent 1
accepts 1
according 1
accordingly 1
acting 1
actually 2
adjusts 1
advantage 1
adventure 1
advise 1
adviser 1
after 11
again 2
against 2
ages 1
ago 1
agrees 2
agriculture 1
aid 1
alisande 1
all 6
alleged 1
allows 1
alone 1
along 1
already 1
also 2
although 5
americanize 1
amongst 2
an 7
analyzing 1
ancient 1
and 65
announces 1
another 4
any 3
apparently 1
appear 1
appearance 1
are 8
area 1
armor 2
army 1
arrested 1
arrests 1
arrive 1
arthur 11
as 22
asleep 1
assistant 1
assistants 1
at 10
attack 2
attempts 2
attend 1
authority 1
awakens 1
away 1
awe 1
baby 4
back 5
band 1
banish 1
banishment 1
bargain 1
bath 2
be 9
bearing 1
beat 1
beating 1
becomes 3
bedridden 1
been 2
before 3
began 1
begged 1
beginning 1
begins 7
behind 2
being 3
believes 2
between 1
bgwjjilligkkk 1
bicycles 1
bitter 1
blot 1
blow 2
bodies 1
boss 2
both 2
boy 2
break 2
brief 1
bring 1
brings 1
building 1
built 1
burn 2
burning 1
but 12
buys 1
by 24
cadets 1
call 1
called 1
calling 1
camelot 6
can 2
cannot 1
captive 1
captured 1
carefully 1
carteloise 1
castle 2
castles 1
catches 1
catholic 2
cause 1
caused 2
causes 3
cave 3
celebrity 1
century 3
challenge 3
challenges 1
charges 3
chase 1
chief 1
church 4
claims 3
clarence 7
class 1
clear 1
coincides 1
colored 1
combat 1
comedy 1
comes 2
concepts 1
connecticut 1
constructs 1
convinces 1
convincingly 1
correctly 1
corrupted 2
country 4
course 1
court 3
create 1
creating 1
critically 1
crowbar 1
crusher 1
culture 1
current 1
dark 1
date 2
day 2
daynbspmdash 1
de 1
dead 1
death 1
deathbed 1
debunk 1
decides 1
defeats 1
delight 1
deliriously 1
demoiselle 1
demon 4
described 1
describes 2
destroy 1
destroyed 1
details 2
die 1
dies 1
difficulty 1
diminishing 1
direction 1
disagreement 1
discovered 1
discovers 1
disease 2
disguised 1
disillusioned 1
do 2
doctors 1
doing 1
down 2
dream 1
dreaming 1
dress 1
driver 3
dry 2
due 2
duel 1
during 3
earlier 1
early 1
earth 1
eclipse 5
educates 1
effect 1
effective 1
effects 1
elected 1
electric 2
electrocuting 1
en 1
encounter 1
encounters 1
end 1
ends 2
england 4
english 1
enraged 1
enter 1
enters 2
entourage 1
equal 1
erroneous 1
escape 1
establishing 1
eventually 2
executed 1
explosive 3
extreme 1
extremely 2
eyes 1
faces 1
fact 1
facto 1
factories 2
fail 1
fails 1
fair 1
fake 1
falls 1
false 1
familiar 1
familiarity 1
family 1
famous 1
far 1
favoring 1
fay 1
fear 2
few 1
fictional 1
fight 3
fights 1
find 3
finds 2
finish 1
finishes 1
fire 1
firearms 2
fireworks 1
first 2
firstperson 1
flee 1
flow 1
following 1
for 9
foretold 1
form 1
fortifies 1
found 1
fountain 9
free 3
frequent 1
friend 1
from 16
further 1
future 1
galahad 1
gathering 1
gathers 1
gatling 1
generation 1
german 1
get 2
getting 1
giants 1
gibberish 1
girl 1
given 2
go 1
goes 2
gone 1
good 3
gradually 2
grail 1
gross 1
group 2
grovel 1
guinevere 1
gunpowder 1
guns 1
had 6
hanged 1
hank 58
hanknbspmdash 1
hartford 1
has 10
have 1
having 3
he 42
head 3
headed 1
hearing 1
heaven 1
heavily 1
held 1
hellocentralnbspmdash 1
her 1
hercules 1
hidden 1
him 18
himself 5
his 36
historical 1
holiness 1
holy 1
hoping 1
how 1
however 7
hunted 1
idea 1
ideas 2
if 2
ill 1
illustrating 1
image 1
improve 1
in 30
incantations 1
including 3
income 1
inconveniences 1
increase 1
individuals 1
indoctrinated 1
industrialize 1
inexplicably 1
infected 1
infidelity 1
inform 1
informs 1
infrastructure 2
injured 1
injury 1
instantly 1
interdict 1
interested 1
into 1
is 34
it 12
its 1
itself 1
jealous 1
join 1
joins 1
june 2
kill 1
killed 1
kills 2
king 18
kingdom 2
knight 3
knights 5
knowledge 4
known 1
knows 1
la 1
lancelot 4
land 1
language 2
lasso 2
last 1
later 3
laughing 1
launcelot 1
le 1
leadership 1
leads 1
leaking 1
learned 1
learns 1
least 1
leave 1
leaving 1
led 1
legend 1
legendary 1
lets 1
level 1
leveling 1
lies 1
life 2
lightning 3
like 1
live 1
lives 1
load 1
lockpick 1
london 1
long 2
look 1
looks 1
luck 1
machinery 1
made 1
magician 2
make 1
makes 2
makeshift 1
making 1
malleable 1
man 8
manufactures 1
manufacturing 1
manuscript 1
married 1
masse 1
medieval 7
meets 2
members 1
men 1
merlin 14
metal 1
might 1
millennium 1
minefield 1
minister 3
miracle 2
miracleworking 1
missing 1
mistaking 1
mistresses 1
misunderstanding 1
modern 4
modernize 1
monastery 1
monks 1
mordred 1
more 3
morgan 5
most 5
mother 1
mr 1
much 1
mystic 1
myths 1
name 2
named 3
names 1
narrative 3
narrator 2
national 2
never 1
new 4
news 1
next 3
nicknamed 1
night 1
nine 1
no 1
nobility 2
nobleman 2
not 2
notwithstanding 1
novel 1
now 1
oak 1
occur 1
of 49
offer 1
officials 1
ogres 2
on 11
one 4
onenbspmdash 1
only 2
operatornbspmdash 1
or 1
order 2
other 1
others 2
out 6
outdo 1
over 2
overseas 1
owned 1
particularly 1
party 1
passing 1
peasant 3
peasants 1
people 7
peoplenbspmdash 1
percentage 1
perform 1
period 1
person 4
personified 1
persuaded 1
phrase 1
phrases 1
piece 1
pigs 2
pilgrims 2
place 1
places 1
plan 1
plants 1
plate 1
ploy 1
pm 1
point 2
poor 1
position 2
possible 1
powerful 2
practices 1
prevent 2
princesses 1
principal 2
prison 1
problems 2
proceeds 1
proclaiming 1
proclaims 1
procures 1
produce 1
product 1
proficiency 1
promising 1
prophet 1
publishes 1
pump 1
quarters 1
quest 2
questions 1
quickly 1
ranks 1
rapport 1
reached 1
real 1
reality 2
realizes 1
realm 1
recognizing 1
recollection 1
recovers 1
reference 1
refuses 1
released 1
rely 1
remarks 1
removing 1
repair 1
replaced 1
reputation 1
rescued 1
resident 1
rest 2
resting 1
restore 1
restored 2
return 1
returned 1
returns 3
reveal 1
revealed 1
reveals 1
revolt 1
revolver 1
revolvers 1
ridiculed 1
riding 2
rod 3
role 1
romantic 1
royal 1
royalty 1
ruling 1
rumors 1
run 1
running 1
runs 1
rural 1
rushes 1
sagramore 4
same 1
sandy 5
satirical 1
save 1
saved 1
says 2
schools 2
second 1
secret 1
secretly 2
secrets 1
see 2
seek 1
seeking 1
seen 1
sees 1
select 1
selection 1
selects 1
sells 1
sends 2
sentenced 1
seriously 1
set 1
sets 1
seven 1
several 2
shall 1
sharing 1
short 1
should 1
simple 1
simply 2
since 1
sir 3
situation 1
sixth 1
slaughtered 1
slave 3
slavenbspmdash 1
slavery 2
slaves 2
slaying 1
sleep 1
smallpox 1
smartest 1
so 1
solar 1
sold 1
some 1
somewhat 2
soon 5
sorcerer 1
sorcerers 1
sorcery 1
special 1
spell 1
spends 1
spreading 1
stabbed 1
stake 1
standard 1
starts 1
state 1
states 1
steals 2
still 3
stopped 1
storms 1
story 3
strange 1
stranger 1
striking 1
stroke 1
struggles 1
subordinates 2
succeeds 1
such 1
sun 1
superintendent 1
superior 1
superstitions 1
supply 1
surprise 1
sustained 1
swineherds 1
take 2
taken 1
takes 1
tale 3
task 1
teach 1
telephone 1
tell 1
than 1
that 25
the 152
their 2
them 4
then 4
thereby 1
they 10
things 1
thirdperson 1
this 7
thousand 1
threat 1
three 1
through 3
thus 1
time 8
timetraveled 1
title 2
to 73
told 2
tools 1
top 1
tournaments 1
towards 1
tower 3
trade 1
trained 1
transported 1
trapped 1
travel 1
travelling 1
treated 1
tree 1
trespassing 1
triggering 1
truly 1
trying 1
two 3
underneath 1
undertakes 1
up 6
upon 2
use 1
uses 3
using 2
utmost 1
utterly 1
valley 4
valuable 1
village 1
vows 1
waking 1
wall 1
wandering 1
war 2
warwick 1
was 4
water 1
way 3
weapons 1
weaving 1
weeks 1
well 1
were 1
what 1
when 7
whenever 1
where 2
which 8
while 3
whiskey 1
who 10
whom 1
will 8
wire 2
wires 1
with 21
without 2
wizard 1
world 1
wounded 1
year 1
years 5
young 3
