30688520
/m/0g9wypy
/m/0g9wypy
James Doohan

{"/m/06n90": "Science Fiction"}
a 3
actually 1
advantage 1
aided 1
allied 2
allies 3
allying 1
along 1
an 2
and 1
antihydrogen 1
are 1
as 3
battle 1
been 1
but 1
by 2
color 2
commonwealth 5
completely 2
crew 1
demolished 1
despite 1
distant 1
divided 1
emerges 1
engineer 1
fibian 4
fibians 2
final 2
find 2
fleet 1
flight 1
fought 1
gaining 1
galaxy 1
grouping 1
groups 1
has 2
have 1
having 1
however 1
human 1
humans 1
in 3
invincible 2
is 2
itself 1
just 1
losses 1
majority 1
mollie 1
mollies 3
mystery 1
near 1
novel 1
of 10
one 2
only 1
origin 1
otherwise 1
out 1
over 1
overwhelmed 1
own 1
quickly 1
returns 1
roughly 1
running 1
section 1
series 1
so 1
sort 1
space 1
species 1
still 1
successfully 1
taking 1
the 22
their 3
themselves 3
there 1
they 2
three 1
to 4
unexplored 1
unravel 1
victorious 1
war 1
well 1
which 1
while 1
who 1
with 4
work 1
yet 1
