9648953
/m/02pn2c8
/m/02pn2c8
John Rodker


a 24
about 1
accepts 1
after 1
again 1
all 1
an 5
and 21
angela 8
another 3
anteroom 1
appear 1
aquarium 1
are 1
as 3
at 1
awakes 1
away 1
back 1
be 1
bear 1
becomes 4
bedroom 1
begins 1
being 2
biting 1
black 2
body 1
bordeaux 1
boy 1
by 3
club 2
collects 1
confused 1
crowd 5
crypt 1
current 1
dancers 1
daydream 2
delirious 1
desire 1
dick 6
difficult 1
disfigured 1
disgusted 1
displays 1
dreams 1
dwarf 1
each 1
eight 1
enter 1
enters 1
escort 1
events 1
exlover 1
expresses 1
face 1
fair 3
fat 1
fight 1
film 3
find 1
five 2
flees 1
flourwhitefaced 1
for 1
forced 1
found 1
fragmented 1
from 3
gazes 1
gets 1
ghost 1
girlfriend 1
glasses 1
go 2
goes 1
has 2
he 23
head 1
her 4
him 1
his 5
home 1
hour 1
in 11
into 2
is 8
it 1
jazz 1
kiss 2
large 1
larger 2
leave 1
leaves 1
lost 1
love 1
making 1
man 1
mass 1
meets 1
monica 6
musicians 1
mutoscope 2
narrative 1
nauseous 1
neck 1
notes 1
novella 1
occurring 1
of 7
often 1
on 2
one 1
or 3
outside 2
over 1
parts 1
people 2
pick 1
picks 1
plays 1
possibly 1
present 1
projected 1
propositions 1
recalled 1
recalls 1
reenters 1
regret 1
rest 1
restaurant 1
returns 5
room 1
roughly 1
screen 1
sections 1
sees 2
set 1
she 1
singer 1
sits 1
sleep 1
slips 1
snake 1
snakelady 2
spanning 1
specifically 1
split 1
stack 1
starts 1
stop 1
street 2
swept 1
takes 1
talking 1
talks 1
taxi 1
tell 1
tells 1
tent 2
the 21
them 1
then 4
they 7
thin 1
thinking 1
this 1
to 14
took 1
topple 1
undine 1
undressing 1
unidentified 1
unnamed 1
up 4
victorian 1
vision 1
visit 1
visited 1
waiters 1
wakes 1
warwounds 1
watches 3
waxwork 1
what 1
whether 1
which 1
who 2
wins 1
with 7
woman 3
wrestler 2
wrestlers 1
