735197
/m/036vv4
/m/036vv4
Hermann Hesse
1919
{"/m/05hgj": "Novel", "/m/0dwly": "Children's literature", "/m/04fqp": "K\u00fcnstlerroman", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 6
accompanied 1
against 1
amidst 1
and 4
appearances 1
as 4
awakens 1
be 1
between 1
bourgeois 1
boy 1
by 1
can 1
classmate 1
concept 1
course 1
demian 1
described 1
detaches 1
emil 2
entire 1
eventually 1
existence 1
from 1
he 1
hindu 1
his 1
home 1
ideals 1
illusion 2
in 2
into 1
is 2
light 1
max 1
maya 1
means 1
mysterious 1
novel 1
of 9
on 1
play 1
prompted 1
raised 1
real 1
realization 1
related 1
revolts 1
scheinwelt 1
self 1
show 1
sinclair 1
spiritual 1
struggle 1
summarized 1
superficial 1
that 1
the 8
to 1
truth 1
two 1
well 1
what 1
words 1
world 6
worlds 1
young 1
