5524514
/m/0dqwkv
/m/0dqwkv
Doris Lessing
1974
a 4
able 1
about 1
an 2
and 5
animal 1
are 1
at 2
band 1
barriers 1
basic 1
being 1
better 1
breaks 1
britain 1
broken 2
care 1
cartwright 1
cat 1
certain 1
character 2
childhood 1
comes 1
constant 1
custody 1
danger 1
dimensional 1
disaster 1
distant 1
does 1
dog 1
down 2
due 2
eaten 1
emily 4
end 1
ends 1
family 2
father 1
flat 1
for 1
girl 1
growing 1
harsh 1
has 2
have 1
her 3
herself 1
hugo 1
in 4
into 2
is 2
loose 1
main 2
many 1
meditating 1
mix 1
mother 1
much 1
named 1
narrator 2
nearfuture 1
new 1
not 1
novel 1
odd 1
of 7
on 1
past 1
periodically 1
place 1
probe 1
resources 1
sad 1
scarcity 1
society 1
space 1
story 1
strange 1
survival 1
survivors 1
takes 1
teenage 1
that 1
the 11
themselves 1
these 1
through 2
time 1
to 3
together 1
trauma 1
traverse 1
under 1
units 2
unnamed 1
unspecified 2
up 1
via 1
visions 1
walks 1
wall 2
where 1
with 2
world 1
