5525358
/m/0dqxmw
/m/0dqxmw
Julius Vogel
1889
183 1
2000 1
2001 1
2002 1
23yearold 1
a 4
abduction 1
about 2
achieved 1
affairs 1
albert 1
although 1
american 1
an 3
and 13
angloamerican 1
any 1
apart 1
apparent 1
are 1
as 1
attracted 1
australian 1
become 1
book 1
bookish 1
both 1
brilliantly 1
british 2
competent 1
corporate 1
dashing 1
daughter 1
describes 1
despite 1
detail 1
did 1
dissolution 1
edition 1
emperor 4
empire 4
empress 1
ensuing 1
executive 1
exploits 1
eyes 1
faced 1
falls 1
federal 1
federated 1
federation 1
female 2
femaledominated 1
finance 1
find 1
first 1
fitzherbert 3
foils 1
for 2
former 1
from 1
future 1
granted 1
hand 1
has 3
have 1
hawaii 1
heirs 1
hierarchies 1
hilda 2
his 2
hit 1
home 1
however 1
imperial 3
in 8
independent 1
initially 1
innovations 1
into 1
intricacies 1
intrusive 1
ireland 1
it 2
its 4
judicial 1
lacks 1
large 1
later 1
leading 1
life 1
love 1
male 1
marriage 1
mention 1
minister 1
miss 2
mori 1
new 2
not 1
novel 2
of 11
on 1
opinions 1
other 1
paramatta 1
plans 2
political 1
politics 1
posthumous 1
precipitates 1
president 1
press 1
primacy 1
prime 1
prince 1
princess 1
prospective 1
protagonists 1
published 1
reabsorption 1
real 1
recognition 1
refuses 1
reginald 1
reissued 1
representation 1
republican 2
reversed 1
royal 1
ruler 1
scholarly 1
secretary 1
sell 1
set 1
several 1
she 1
significant 1
sir 1
slabs 1
snag 1
states 1
succession 1
suffrage 1
that 1
the 22
their 2
themselves 1
then 2
there 1
throne 1
to 2
uncanny 1
under 1
unfortunately 1
united 1
university 1
us 1
villainous 1
war 1
was 1
well 1
when 2
where 1
which 3
wins 1
with 2
wooing 1
years 1
young 1
zealand 2
