205767
/m/01d5kn
/m/01d5kn
Steven Barnes
1987
100year 1
a 36
abilities 1
able 2
accelerated 1
accused 1
actually 2
additional 1
adult 4
advanced 1
advantage 1
afflicted 1
after 2
again 1
agenda 1
all 7
almost 1
alone 1
also 2
among 1
amounts 1
amphibian 1
an 7
analysing 1
and 43
animals 2
animation 2
apart 1
appearance 1
approaches 1
aquatic 2
are 30
arrive 1
as 17
asserts 1
assist 2
at 6
attacks 2
attributes 1
autopsy 1
avalanche 1
avalon 1
away 3
baby 1
badly 1
based 1
basis 1
battle 1
be 8
became 1
become 4
been 2
began 1
begin 4
behavior 3
being 2
believes 1
beneath 1
beowulf 1
betrayed 1
better 1
beyond 1
blamed 1
blood 3
bluff 3
bodies 2
bones 1
book 1
brain 1
breathe 1
brutalized 1
build 1
bullets 1
burnt 1
bursts 1
but 8
by 8
cadmann 11
calcium 1
camelot 1
camp 1
can 5
cannibalism 1
cannibalistic 1
cannot 3
cardiovascular 1
carefully 2
carnivorous 1
cataclysmic 1
caught 1
cause 1
certain 1
challenges 1
change 1
changes 1
character 1
check 1
chemical 3
child 1
children 2
chore 1
chunk 1
claims 1
claws 1
cliffs 1
climbing 1
colonists 25
colonization 1
colony 4
combat 1
combustion 1
communications 1
community 3
companion 1
complement 1
completely 1
conceives 1
conclusions 1
confounded 1
continually 1
continue 1
control 1
cool 1
course 1
creature 3
crocodilian 1
crop 1
crops 1
crush 1
cut 1
cycle 2
damaged 1
dangerous 1
dead 3
deadfall 1
deadly 1
defenses 1
deliberate 1
demand 1
deserve 1
designed 1
despair 1
despite 1
destroyed 1
destruction 1
die 1
discover 1
discovers 1
discovery 2
disturbing 1
do 1
does 4
dogs 1
down 1
dozen 1
draw 1
drilling 1
drive 2
driven 1
driving 1
drove 1
drugged 1
due 1
duration 1
during 1
dusting 1
dying 1
earth 3
eat 1
ecology 1
ecosystem 1
effects 1
efficient 1
eggs 1
eight 1
enable 1
enabling 1
engines 1
enough 3
epiphany 1
equipment 2
eradicated 1
especially 1
essential 1
etc 1
evacuated 1
even 1
event 1
events 1
eventually 2
every 1
evolutionary 1
evolve 1
exception 1
excess 1
exert 1
expedition 2
experience 1
explored 1
exterminated 1
extinction 2
extracted 1
fact 1
fall 1
far 2
fastest 1
feeding 1
feet 1
female 1
females 1
fences 1
fertilize 1
few 2
fight 2
first 3
fish 3
food 3
for 6
forcing 1
form 1
former 1
forms 1
found 1
frenzy 3
frogs 2
from 9
frustration 1
fullgrown 1
fully 1
funded 1
further 2
gender 1
generates 1
geographic 3
give 1
given 1
gland 1
going 1
gone 1
gorilla 1
grendel 15
grendels 27
growing 1
had 2
happen 1
happened 1
harvest 1
has 2
have 5
having 2
he 6
herbivorous 1
hero 1
hideaway 1
high 1
him 5
his 4
homestead 1
hope 1
hopes 2
horde 2
hour 1
how 1
however 2
humans 3
hundred 2
hundreds 1
hunt 3
hunts 1
hydrogen 1
if 3
ignite 1
immediate 1
immediately 1
immensely 1
impaired 1
in 16
increasingly 1
incredible 1
individual 1
inhabit 1
innocent 1
inspire 1
instead 2
instinct 1
integral 1
intelligence 1
interaction 1
internal 1
into 6
introduced 1
irrational 1
is 28
island 7
it 16
its 7
jaws 1
joined 1
joins 1
journey 2
just 3
juvenile 3
key 1
kill 2
killed 3
killing 2
knowledge 1
known 1
laced 1
large 1
larger 1
laserbased 1
later 1
lay 1
leading 1
learn 1
learning 1
least 1
leaves 1
left 1
life 2
lifetimes 1
like 3
liquid 1
live 1
living 1
local 1
lots 1
made 1
mainland 1
make 4
makes 1
making 1
male 1
many 2
mass 1
may 1
mental 2
mildly 1
miles 1
minds 2
missing 1
monster 1
months 1
more 3
most 1
mother 1
mountain 2
move 1
much 1
musculature 1
named 1
national 1
native 1
nearby 1
new 4
nimble 1
nitrous 1
no 2
not 11
now 6
numbers 2
observes 1
of 32
off 4
officer 1
on 12
once 2
only 4
opens 1
organ 1
other 2
others 1
out 1
outstanding 1
over 3
overconfident 1
overpredation 1
own 2
oxide 1
packs 1
panic 1
paradise 1
past 1
people 2
per 1
period 1
permitted 1
persuading 1
physical 1
place 1
planned 1
plasmabased 1
poem 1
point 1
population 4
possess 1
predation 1
predator 1
predatory 1
pregnant 1
present 1
prevent 1
previously 1
prey 2
primary 1
program 1
properly 1
protected 1
proves 1
provided 1
quickly 1
rapidly 1
rate 1
reach 1
reader 1
realize 1
reanimated 1
reasoning 1
rebuilding 1
recent 1
recorded 1
reinforced 1
reintroduced 1
release 1
remain 1
remaining 2
rest 1
restart 1
restrained 1
result 1
resulted 1
retardation 1
retreat 1
return 2
returns 2
reveals 1
revenge 1
rises 1
rocky 1
rule 1
sabotage 1
same 1
samlon 9
sapient 1
saved 1
secretes 1
security 2
seem 1
seems 1
selected 1
sending 1
sense 1
sent 1
serve 1
set 1
sets 1
several 2
sharklike 1
sharp 1
she 1
short 2
shows 1
shuttles 1
side 1
significantly 1
similar 1
skill 1
smart 3
smell 1
snorkel 1
so 2
society 1
soldier 1
some 2
soon 1
source 2
spared 1
specialists 1
species 8
speed 1
spike 1
spray 1
sprayed 1
spraying 2
sprint 1
stamina 1
starship 1
stays 1
steel 1
stocking 1
story 1
strength 2
stronger 1
studying 1
subtly 1
sufficient 1
suggested 1
supercharger 7
superoxygenated 1
supplement 1
supporter 1
survive 1
survived 1
surviving 1
suspended 2
system 1
tactic 1
tactics 4
taken 1
targeted 1
technology 3
ten 1
terrestrial 4
terrible 1
than 2
that 15
the 127
their 17
them 7
themselves 1
then 2
there 5
they 14
this 9
those 2
though 3
thousands 1
threat 1
thus 1
time 4
tissue 1
to 46
tools 1
torn 1
town 1
tracer 1
traces 1
traction 1
trait 1
triggers 1
true 1
turned 1
two 1
ultimately 1
unaware 1
undetected 1
unfertilized 1
unforeseeable 1
unknown 1
unnecessary 1
unprecedented 1
unsettling 1
unwilling 1
up 4
use 1
used 4
using 3
utilize 1
very 1
warm 1
wars 1
wasteheat 1
water 5
waters 1
weapons 4
welding 1
well 4
wellstocked 1
were 3
weyland 1
what 3
whatever 1
when 6
which 1
while 2
who 1
why 1
will 6
wipe 1
with 13
within 2
without 2
woman 1
women 1
worked 1
worth 1
wounded 1
year 1
young 1
