23043557
/m/0m70f
/m/0m70f
Dr. Seuss
1957-11-24
{"/m/0dwly": "Children's literature"}
a 3
all 2
and 9
annoyed 1
atop 1
away 1
beast 1
bitter 1
by 1
can 1
cavedwelling 1
christmas 6
comes 1
coming 1
community 1
companion 1
creature 1
crumpit 2
decorations 2
deprive 1
descend 1
despite 1
dog 1
end 1
faithful 1
festivities 1
from 3
gifts 1
grinch 2
grouchy 1
grows 1
happiness 1
he 4
hear 1
heart 2
high 2
his 5
home 1
however 1
in 3
into 1
is 3
just 3
larger 1
learns 1
lives 1
makes 1
max 1
merry 1
more 1
mount 2
mountain 1
noisy 1
north 1
of 4
on 2
only 1
perch 1
place 1
plans 1
presents 4
prevent 1
realizes 1
returns 1
roast 1
same 1
sizes 2
small 1
snowy 1
steep 1
success 1
take 1
taking 1
than 1
that 3
the 13
their 1
them 1
then 1
this 1
three 1
thus 1
to 2
too 1
touched 1
town 1
trimmings 1
two 1
unable 1
understand 1
warmhearted 1
warmly 1
welcomed 1
whohash 1
whos 4
whoville 2
with 1
