3605895
/m/025ssxm
/m/025ssxm
Dodie Smith
1967
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 4
abandon 1
abuse 1
accepts 1
addressed 1
against 1
agree 1
all 7
an 2
and 13
animals 1
are 3
arrive 2
as 2
ask 1
asleep 1
at 1
back 1
barking 1
battersea 1
be 2
become 1
before 2
begins 1
behind 1
book 1
braininess 1
breed 1
but 2
by 3
cabinet 1
cadpig 2
cannot 1
carrying 1
cat 1
cats 1
column 1
conference 1
country 1
cruella 1
dalmatians 2
dangers 1
day 1
de 1
decide 1
decision 2
deep 1
delegate 1
described 1
discussing 1
dog 6
dogs 9
doors 1
earth 3
enchantments 1
end 1
events 1
every 2
extraterrestrial 1
fast 1
few 1
find 2
first 1
for 4
from 4
gliding 1
go 3
grants 1
ground 1
has 1
have 1
he 2
hear 1
heard 1
her 3
heroism 1
him 1
his 4
home 3
honorary 1
house 1
however 1
humans 5
if 1
in 3
informs 1
investigate 1
invites 1
is 1
joined 1
joins 1
just 1
known 1
leaves 1
like 1
london 3
lord 1
magically 1
make 1
mention 1
minister 1
missus 1
mixedbreed 1
mysterious 1
nelson 1
not 2
nuclear 1
of 9
off 1
on 3
open 1
opportunity 1
or 1
other 2
over 1
own 2
owners 1
perceives 1
persian 1
pet 1
phenomenon 1
pongo 5
potential 1
power 1
prime 1
reach 1
reports 1
reveal 1
sadly 1
safe 1
same 1
see 1
she 3
should 1
sirius 5
skinny 1
sleep 1
some 2
someday 1
square 1
star 2
stay 1
stray 1
strays 1
summons 1
sure 1
swooshing 1
take 1
tells 1
that 2
the 30
their 2
them 3
then 2
they 8
this 1
three 1
to 15
tommy 1
top 1
trafalgar 1
travel 3
unnaturally 1
up 2
vil 1
wake 2
want 2
war 1
way 1
when 1
where 4
whether 1
whims 1
white 1
who 1
will 2
with 3
