12185146
/m/02vtm1b
/m/02vtm1b
Shannon Hale
2007-05-29

a 6
about 1
actors 1
actually 1
adaptation 1
all 2
an 1
and 5
are 1
as 1
austen 1
austencrazed 1
away 1
bbc 1
become 1
bequeaths 1
but 2
by 1
can 1
catering 1
colin 1
compare 1
could 2
culminate 1
darcy 2
decked 1
dreams 1
empirewaist 1
english 1
etiquette 1
even 1
ever 1
fall 1
fantasies 1
firth 1
flirts 1
for 1
game 1
gardeners 1
gentleman 1
gentlemenor 1
good 1
gowns 1
has 1
have 1
hayes 1
her 6
imagined 1
in 3
insecurities 1
is 3
its 1
jane 3
janes 1
kick 1
knows 1
life 1
longer 1
love 1
man 1
master 1
maybe 1
meeting 1
more 3
mr 2
new 1
no 1
normal 1
obsession 2
of 3
or 1
out 1
own 1
perfect 1
played 1
playing 1
prejudice 1
pride 1
real 2
regency 1
regencyera 1
relative 1
resort 1
ruining 1
secret 1
seem 1
seemingly 1
she 6
stays 1
struggles 1
suddenly 1
suspects 1
than 1
the 7
them 1
to 5
trip 1
wealthy 1
when 1
who 1
with 3
women 1
wonders 1
yet 1
yorker 1
young 1
