23254147
/m/065zmrs
/m/065zmrs
Stephen J Sweeney

{"/m/06n90": "Science Fiction"}
100 1
2617ad 1
3 1
50000 1
6 1
a 25
abilities 1
about 1
absence 1
accurately 1
admiral 5
affect 1
after 3
again 3
against 3
agent 1
ago 1
all 2
allied 2
allies 1
also 2
although 1
an 3
and 34
another 1
anything 2
approaching 1
are 12
arlos 1
arrest 1
arrive 2
arriving 2
as 4
assigned 1
aster 1
at 5
ataf 3
atafs 2
attack 3
attacked 1
attacks 1
attempt 2
attempting 1
attempts 1
attending 1
await 1
away 1
awoken 2
back 4
barber 2
base 2
battleship 2
become 1
becomes 1
becoming 1
been 6
before 3
begin 2
begins 2
being 1
believe 1
believed 1
bidding 1
body 1
border 1
bring 1
brink 1
but 5
by 11
called 1
can 1
cannon 1
capabilities 1
captain 1
capture 1
card 2
carrier 2
carriers 1
cease 1
chalmers 1
chaz 1
choice 1
civil 1
clare 1
club 1
come 3
comes 1
commanded 1
commodore 7
completely 1
complying 1
concern 1
confederacy 2
confederation 1
constructed 1
contacts 1
continue 1
control 1
couldnt 1
crew 3
csn 3
currently 1
cut 1
data 1
databanks 1
day 1
dead 3
dean 3
death 1
defeat 1
defence 1
deny 2
describe 1
design 1
destroying 1
destruction 2
detachment 1
developed 1
devils 1
dies 1
directly 1
disastrous 1
discover 2
discovering 1
discovers 2
discuss 1
dismiss 1
do 2
dodds 12
dragon 5
drink 1
drinking 1
drive 1
driven 1
drunk 2
dump 1
during 2
earth 1
eliminating 1
else 1
empire 1
enemy 8
enrique 2
escapes 1
evening 1
eventually 1
evolutionary 1
exceptionally 1
existence 2
explain 1
fabrication 1
fact 1
failure 1
false 1
fatal 1
feeling 2
fight 3
fighters 1
final 1
first 1
flagship 1
fled 1
flees 1
following 1
for 5
force 1
forces 8
found 1
full 1
galaxy 1
get 1
goal 1
goes 1
government 1
great 1
grendel 1
griffin 5
group 1
gunshot 1
had 1
hands 1
happened 1
has 12
have 3
hawke 5
he 5
head 1
heading 1
healing 1
heard 1
hears 1
her 2
heroes 1
hijacked 2
him 3
his 10
history 1
home 3
hospital 1
hours 1
house 1
however 5
ifrit 3
immediate 1
imperial 5
imperials 1
imperium 1
in 14
incredible 1
intercept 2
into 2
involving 1
is 17
it 6
its 3
jacques 1
knights 8
known 2
last 1
later 2
launch 1
leave 1
leaving 1
left 4
leviathan 1
life 1
located 1
luring 1
main 1
major 1
making 1
man 3
manage 1
many 1
mates 2
means 1
meet 1
meeting 1
member 1
meyers 1
military 1
minds 1
misjump 1
mission 1
mitikas 1
months 2
more 5
morgue 2
morning 1
most 1
moves 1
mysteriously 1
name 1
named 1
naval 4
navy 2
nearly 1
neat 1
newly 1
news 1
next 3
night 1
nights 1
no 2
not 5
number 2
of 27
offensive 1
officer 1
old 1
on 7
once 3
one 1
ongoing 1
only 3
open 1
operation 2
operators 1
opponent 1
orders 2
original 1
other 1
out 2
outmatched 1
outperformed 1
over 1
own 1
pandoran 1
pandorans 1
parents 1
parks 6
part 2
participating 2
party 1
patrick 1
patrolling 1
pilot 2
piloted 1
pilots 3
plan 1
planet 1
plans 1
possesses 1
power 1
presentation 1
previous 1
project 1
purported 1
question 2
questions 1
raider 2
raiding 1
reaction 1
real 1
realise 1
red 1
refugees 3
reinforcements 1
relegated 1
remains 1
reminded 1
remote 1
repairs 1
request 2
rescue 1
research 1
respectively 1
respiratory 1
retreat 1
retrieving 1
return 3
reunited 1
right 1
rumourmonger 1
rumours 3
run 1
same 1
save 1
search 1
searching 2
secondary 2
security 1
seen 1
sell 1
senate 1
send 1
sends 1
sense 1
series 1
serious 1
service 2
several 1
shot 1
shutdown 1
side 1
simon 1
simulated 1
single 2
sizeable 1
slaughter 1
so 2
soldier 1
soldiers 2
something 2
space 3
spaces 1
spend 2
spirit 1
stand 1
star 1
starfighter 4
starport 7
start 1
stationed 1
stellar 1
step 1
still 1
stole 1
stolen 1
story 1
stranded 1
strong 2
suffered 1
suffers 1
superior 1
surviving 1
survivors 1
swallowed 1
system 4
take 3
targets 1
tasked 1
team 6
telling 1
tells 2
temper 1
test 1
tests 1
than 1
that 16
the 97
theft 1
their 4
them 4
then 4
they 8
this 1
though 1
three 1
time 1
to 46
told 1
transferred 1
transpires 1
trouble 1
true 1
turned 1
turner 2
turns 1
two 1
unable 1
under 2
unf 1
unstoppable 1
use 1
vessel 3
vessels 1
vicinity 1
war 1
was 2
water 1
way 2
weeks 3
welcome 1
what 1
where 1
whilst 4
whiskey 1
white 5
who 7
wiped 1
with 13
witness 1
witnesses 1
woman 1
wounds 1
zackaria 4
