73408
/m/0jqbz
/m/0jqbz
Harper Lee
1960-07-11
a 10
about 4
accepts 1
accused 1
accusersmayella 1
actions 1
adults 1
advances 1
affection 1
after 1
again 1
agrees 1
alabama 2
also 1
although 1
amid 1
ancestor 1
and 22
appearance 1
appears 1
appointed 1
are 2
argues 1
arm 1
arrives 1
as 2
asks 1
at 2
attacks 1
atticus 12
aunt 1
averted 1
badly 1
balcony 1
be 1
beat 1
because 1
becomes 1
becoming 1
been 2
befriend 1
beliefs 1
black 1
bob 3
boo 7
book 1
boy 1
break 1
broken 1
brother 1
but 2
buying 1
by 5
calling 1
carries 1
caught 1
children 5
citizens 1
clear 1
colored 1
comes 1
confusion 1
contrary 1
convicts 1
cornish 1
court 1
danger 1
dark 1
defend 2
defenseless 1
depression 1
despite 1
dill 4
disappears 1
disappointment 1
disapprove 1
discovers 1
dispersing 1
does 1
door 1
drunkare 1
during 1
each 2
england 1
escape 1
establishes 1
ethics 1
even 1
eventually 1
evidence 1
ewell 5
face 1
faces 1
faith 1
family 1
fantasize 1
fascinated 1
father 4
feed 1
fell 1
few 1
fictional 1
fighting 1
finally 1
finch 3
find 1
fleeing 1
focuses 1
following 1
for 6
forcing 1
friendless 1
friendship 1
from 5
front 1
gestures 1
get 1
gifts 2
given 1
goodbye 1
great 1
group 1
had 1
halloween 1
has 3
have 1
he 6
her 7
hesitant 1
hidden 1
him 7
his 7
holding 1
home 3
honor 1
hopeless 1
house 2
how 1
humiliated 1
imagination 1
imagines 1
in 10
innocence 1
intent 1
into 2
intolerance 1
is 9
it 2
jem 11
judge 1
jury 1
justice 1
killed 2
knife 1
lawyer 1
leaving 1
life 1
lives 1
lying 1
lynching 1
main 1
makes 1
making 1
man 2
many 2
maycomb 5
mayella 2
men 1
menaces 1
methodist 1
middleaged 1
mob 1
mysterious 2
named 1
neighbor 1
never 2
niggerlover 1
night 1
not 2
of 13
old 1
older 1
on 6
opens 1
or 1
other 2
out 1
outside 1
own 1
pageant 1
part 1
person 1
perspective 1
place 2
points 1
porch 1
present 1
presiding 1
prison 1
prudence 1
radley 4
raping 1
realizes 1
reasons 1
reclusive 1
regrets 1
religious 2
remaining 1
repaid 1
rescue 1
responsible 1
revenge 1
robinson 3
rumors 1
says 1
school 1
scout 11
secret 1
seen 1
settling 1
several 2
sexual 1
shaken 1
shame 1
she 1
sheriff 3
shot 1
significant 1
simon 1
simply 1
situation 1
sixyearold 1
slaves 1
small 1
someone 2
spits 1
stand 1
standing 1
stay 1
story 2
street 1
struggle 2
summer 1
summers 1
takes 1
talk 1
taunt 1
tempted 1
terrified 1
that 7
the 35
their 3
them 4
they 3
this 1
though 1
three 2
times 1
tired 1
to 17
told 1
tom 9
towards 1
town 2
tree 1
trial 2
tries 1
trying 1
two 1
up 1
view 2
visits 1
vows 1
walk 2
want 1
was 1
watch 1
wealthy 1
when 2
where 1
while 2
white 1
who 3
widow 1
widowed 1
with 6
woman 1
years 2
young 1
