16946317
/m/0btc9g
/m/0btc9g
Eva Ibbotson
1979
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 11
act 1
actor 2
after 2
agree 2
alive 1
all 3
amazing 1
an 4
and 8
animal 1
another 1
any 1
anything 1
appears 1
are 2
arriman 14
arrive 1
as 4
at 1
awful 1
be 2
beautiful 1
been 2
before 2
begins 2
believing 1
belladonna 10
best 1
black 1
blackest 1
blighting 1
bore 1
bride 1
burden 1
but 2
by 2
can 1
certainly 1
choose 1
competition 1
contest 3
count 1
dark 2
darker 1
day 2
death 1
decide 1
decides 1
delighted 1
devises 1
did 1
didnt 1
discovers 1
display 1
do 3
downright 1
enchantress 1
encounters 1
even 1
everyone 1
evil 1
exception 1
familiar 2
for 4
foretells 1
found 1
friend 1
from 2
ghost 1
goes 3
gone 1
hand 1
has 3
have 2
he 1
helps 1
her 9
hid 1
hilariously 1
him 3
hire 1
his 5
hold 1
hometown 1
horribly 1
however 3
howeverit 1
imitated 1
in 3
into 2
is 12
it 5
joins 1
jolts 1
key 1
known 1
knows 1
lose 1
loves 1
madame 1
magic 6
make 1
marries 1
marry 1
meant 1
message 1
missing 1
most 1
motive 1
mugg 1
must 1
named 2
nasty 1
necromancy 1
no 1
nor 1
not 1
now 1
of 11
olympia 2
on 3
one 1
only 1
or 1
orphan 1
orphanage 1
other 1
out 1
over 1
overjoyed 1
part 1
perfect 1
perform 2
performances 1
performs 3
pet 1
piece 2
plan 1
play 1
plotters 1
problem 1
prophecy 2
prophesied 1
proposed 1
pupil 1
raise 1
realization 1
replacement 1
rescue 1
resurrected 1
revolting 1
rover 4
saying 1
scheduled 1
secretly 1
seems 1
servant 1
servants 1
seven 1
she 3
simon 4
since 1
sir 4
small 1
smighting 1
some 1
son 2
spell 1
spellcasting 1
spending 1
story 1
sure 1
svhxtvlingen 1
symphony 1
take 3
telling 1
terrance 3
terrence 6
terrifying 1
that 11
the 21
their 1
there 1
they 1
this 1
time 3
times 1
to 16
todcaster 3
together 1
town 1
truly 2
trying 1
turn 2
turns 1
ulterior 1
unable 2
unaware 1
uncharacteristically 1
unless 1
using 1
was 3
when 2
which 2
whichever 1
while 1
white 1
who 4
whom 1
wife 3
will 6
willing 1
win 1
witch 2
witches 3
with 4
without 1
wizard 2
work 1
working 1
worm 1
would 1
wrong 1
