498885
/m/02hqhp
/m/02hqhp
Tom Wolfe
1987
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
12 1
250000 1
3 1
a 26
abe 1
about 2
accidentally 1
accomplice 1
accused 1
additionally 1
after 1
aggressively 1
airport 1
alcoholic 1
all 1
allbutforgotten 1
alleged 1
allegedly 2
along 1
also 1
an 4
and 22
annoyed 1
apartment 1
apparently 1
appeal 1
approached 1
are 2
arrest 2
arthur 2
article 1
articles 2
as 8
assets 1
assigned 1
assistant 2
association 1
at 5
attorney 2
attractive 1
avenue 1
awaits 1
away 1
back 1
bacon 1
bail 2
be 1
been 1
being 1
besieged 1
between 1
bid 1
black 2
blocked 1
bond 1
boss 1
boy 2
bronx 2
but 2
by 6
cans 1
car 4
case 5
caseas 1
centers 1
city 3
civil 1
clear 1
closing 1
confronts 1
consists 1
contradicts 1
conversation 1
coop 1
corroborate 1
country 1
coverage 1
cynically 1
d 1
da 1
damaged 1
daughter 4
deal 1
declares 1
demonstrators 1
description 1
desert 1
destroyed 1
discovers 1
dismisses 1
district 2
disturbed 1
done 1
driver 1
driving 1
employed 1
ends 1
enter 1
epilogue 1
escaped 1
estranged 1
evasive 1
evidence 1
exits 1
fallow 8
family 1
famous 1
fatal 1
fictional 1
finding 1
fishtails 1
fled 1
flee 1
footdragging 1
for 5
forced 1
formerly 1
forth 1
freezing 1
french 1
friends 1
from 3
funeral 1
gerald 1
given 1
grand 1
harlem 1
has 8
hasbeen 1
having 1
he 5
hears 1
henry 2
her 1
highway 1
him 2
his 12
hit 2
holds 1
hoping 2
hospitalized 1
hung 1
husband 1
ignites 1
immunityor 1
impress 1
in 7
informs 1
injuries 1
interviewing 1
investigator 1
involved 2
is 9
it 3
job 1
journalist 1
judge 1
jury 2
kennedy 1
killian 2
kramer 3
lamb 6
larry 1
lawyer 1
leader 1
leaves 1
liability 1
life 2
lifetime 1
light 2
lines 1
look 1
loses 1
lost 1
manhattan 1
manipulations 1
manslaughter 1
maria 11
married 1
master 1
matches 1
matre 1
matter 1
mccoy 18
media 1
mediaobsessed 1
meets 1
men 1
million 2
mistress 1
new 2
night 1
novel 1
of 19
offer 1
on 6
one 1
only 1
opening 1
opportunity 1
other 1
out 1
outside 1
overhears 1
owner 1
park 1
patrons 1
pending 1
penniless 1
perceiveuncertainly 1
persuaded 1
peter 1
plus 1
police 1
political 1
predators 1
pretense 1
pricey 1
private 1
prize 1
projects 1
prompts 1
prosecutes 1
prosecution 2
protesting 1
protests 1
pulitzer 1
pushes 1
questioning 1
race 1
racial 1
ramp 1
receive 1
recording 1
recounting 1
recounts 1
reelection 1
released 1
religious 1
remarried 1
removed 1
response 1
restaurant 1
resulted 1
retrial 1
return 1
revealed 2
reverend 1
rich 1
ruins 1
rumor 1
run 2
ruskin 4
sees 1
seizure 1
selfregarded 1
series 3
set 1
sexual 1
shelly 2
sherman 2
skinny 1
smoke 1
soon 1
split 1
states 1
steiner 1
story 2
street 1
strikes 1
struck 1
success 1
succumbs 1
tabloid 1
tainted 1
taken 1
takes 1
talk 1
testimony 2
that 4
the 48
their 1
they 3
this 2
thomas 2
times 1
tire 1
to 16
tolerates 1
tommy 2
trader 1
trash 1
treated 1
trial 2
truth 1
trying 1
tryst 1
two 1
twoa 1
united 1
universe 1
unsuccessful 1
up 1
us 1
used 1
vehicle 1
vehicular 1
victim 1
wall 1
was 2
way 1
wealthy 3
wearing 1
weiss 1
well 1
wheel 2
when 4
where 1
which 3
while 4
white 1
who 3
whom 1
wife 3
wire 1
with 4
witness 2
woman 1
won 1
write 1
writeup 1
wrong 1
york 2
young 1
youth 1
