23249119
/m/065yv_3
/m/065yv_3
Desmond Bagley
1985
300ton 1
a 6
after 1
american 1
an 1
and 6
armies 1
as 1
breaks 1
bridges 1
british 3
bullied 1
by 1
civil 1
colony 1
corporate 1
crew 1
deal 1
democracy 1
dispatch 1
display 1
doctor 1
economy 1
electric 2
even 1
fields 1
flatbed 1
for 2
former 1
has 1
he 1
hopes 1
hospital 1
huge 1
insist 1
into 1
irish 1
is 3
its 2
local 1
machinery 1
mannix 3
meaning 1
members 1
multinational 1
must 2
mythic 1
narrator 1
near 1
neil 1
new 1
newly 1
nun 1
nyala 1
nyalans 2
of 1
oil 2
on 2
opposing 1
out 1
populace 1
possibly 1
power 1
prop 1
rich 1
rig 2
roads 1
sent 1
shaky 1
some 1
station 1
supervise 1
symbolic 1
taken 1
that 1
the 7
to 3
transformer 1
traveling 1
travels 1
trek 1
troubleshooter 1
unsafe 1
untrustworthy 1
up 1
using 1
war 1
which 1
who 1
with 3
