13443029
/m/03c5gyy
/m/03c5gyy
Martin Amis
1973

a 6
acknowledges 1
adolescence 1
after 1
allusion 1
american 1
amis 1
an 2
and 8
as 1
at 1
autobiographical 1
away 1
become 1
bed 1
before 1
beyond 1
birthday 1
brief 1
bright 1
brilliance 2
but 1
by 1
calculated 1
charles 7
chronicles 1
conniving 1
convince 1
deforest 1
detailed 1
diligently 1
don 1
egotistical 1
employ 1
entrance 1
eve 1
everything 1
evolve 1
exams 2
first 1
for 3
from 1
geared 1
getting 1
girlfriend 1
girls 1
going 1
gradually 1
he 2
her 2
highway 1
him 1
his 11
how 2
however 1
in 2
instead 1
instructions 1
into 4
is 2
last 1
london 1
love 1
machinations 1
meets 3
meticulously 1
most 1
must 1
named 1
narcissistic 1
narrated 1
neurotic 1
notes 2
novel 2
noyes 1
of 10
on 3
one 1
outlet 1
over 1
oxford 2
papers 2
party 1
passionate 1
pick 1
portrait 1
pours 1
primary 1
rachel 6
recounts 1
relationship 1
romance 1
schemes 1
seduce 1
seeing 1
set 1
she 1
sincere 1
steal 1
story 2
student 1
studying 2
subset 1
teenager 1
tells 1
that 1
the 9
their 1
these 2
throughout 1
time 1
title 1
to 7
toward 1
twentieth 1
unfortunately 1
university 1
up 1
variety 1
visiting 1
vows 1
while 1
whom 1
win 1
wisdom 1
wit 1
with 3
works 1
year 2
