5280810
/m/0dccgt
/m/0dccgt
Barbara Mertz
1991
187 1
3000 1
a 10
about 1
action 1
after 1
ago 1
ahead 1
alive 1
all 3
alter 1
amelia 2
aminreh 2
an 1
ancient 3
and 17
anyone 1
appearance 2
appears 1
are 1
at 2
back 1
barkal 1
because 1
been 2
before 1
blacktower 4
brothers 1
but 4
by 3
camels 1
capital 1
causes 1
chance 1
choice 1
civilization 1
clandestine 1
dead 1
decision 1
decline 1
desert 3
devotion 1
did 1
die 1
dinner 1
disappeared 1
disappears 1
discounted 1
discover 1
disturbed 1
do 1
drawn 1
egypt 2
emerson 1
emersons 6
escape 1
established 1
evening 1
excavate 1
except 1
existence 1
expected 2
expedition 1
fact 1
faithful 1
family 1
finally 1
find 4
first 1
for 3
forth 4
forthright 2
fourteen 1
from 2
fully 1
functioning 1
gebel 1
go 1
god 1
grandfather 1
grossly 1
happened 1
has 1
have 4
he 2
heat 1
heir 1
her 1
him 1
himself 1
his 5
home 1
in 12
information 1
intrigues 1
introduced 1
is 7
it 1
jumble 1
just 1
know 1
land 1
last 1
later 1
lead 1
learn 1
life 1
longlost 1
looks 1
lord 1
lost 1
make 1
makes 1
map 1
meetings 1
men 1
midst 2
missing 1
mistaken 1
mores 1
napata 1
nearly 1
need 2
nefret 1
nephew 1
never 1
nile 1
no 2
not 1
notebook 1
nubian 1
oasis 1
of 13
off 1
older 1
on 3
one 5
out 1
own 1
page 1
place 2
plans 2
politics 1
power 1
priestesses 1
princes 1
prod 1
produced 1
promised 1
push 1
queen 1
quiet 1
radcliffe 1
ramses 1
recourse 1
recover 1
reggie 3
relatively 1
rescue 1
rescuers 1
seeking 1
servant 2
set 1
she 1
short 1
simple 1
so 1
social 1
son 1
soon 1
source 1
spurred 1
still 2
story 2
struggling 1
sudan 2
sudden 1
suddenly 1
suffers 1
surprisingly 1
takes 1
taking 1
tell 1
that 2
the 33
their 4
them 2
themselves 3
they 8
thirst 1
thought 1
three 1
to 12
together 1
too 1
travel 1
two 2
uncle 1
until 1
viscount 1
visitors 1
wants 1
was 3
wastes 1
ways 1
wealth 1
weeks 1
west 1
western 1
what 1
when 3
where 1
while 1
who 2
wife 1
willie 2
willoughby 1
with 2
woman 1
world 1
worst 1
would 2
years 2
young 1
