4910824
/m/0ctsrw
/m/0ctsrw
Dean Koontz

a 9
abilities 1
ability 1
absurd 1
actions 1
afraid 1
after 1
alley 1
an 3
and 11
as 4
assailant 1
at 2
back 1
barely 1
be 1
begin 1
being 1
bizarre 2
blood 1
bobby 2
born 1
bring 1
brother 3
but 2
by 3
cannot 1
case 1
compounded 1
confrontation 1
confusion 1
dakota 1
dakotas 1
dangerous 1
deeper 1
developed 1
down 1
drugabuser 1
either 1
else 1
enlists 1
escape 2
escapes 1
every 1
evidence 1
family 2
fast 1
father 1
fear 1
filled 1
final 1
find 1
first 1
for 1
frank 8
from 3
goes 1
hallucinogenic 1
has 1
he 6
help 1
her 3
hermaphrodite 1
herself 1
him 2
himself 1
his 9
husbandwife 1
impregnated 1
in 2
inbreeding 1
incestuous 1
increasingly 1
into 2
is 3
it 1
julie 3
kill 1
killed 1
knows 1
life 3
madman 2
merely 1
message 1
minor 1
mother 2
must 1
mysterious 3
name 1
night 1
nighttime 1
normal 1
nothing 2
of 6
or 2
own 2
past 1
pollard 3
possesses 1
product 1
psychic 2
pursued 2
relationship 1
remember 1
result 1
revealed 1
security 1
seed 1
seeks 1
seems 1
she 1
siblings 1
sister 1
sisters 1
sleep 1
speeding 1
stand 1
syndrome 1
team 1
that 2
the 8
they 2
thirsts 1
this 1
threatened 1
time 1
to 5
track 1
travels 1
tries 1
twin 1
ultimately 1
uncover 1
unusual 1
up 2
wakes 2
wanting 1
was 3
way 1
well 1
were 1
which 1
while 1
who 4
will 2
with 3
world 1
younger 1
