12634206
/m/02wyzl3
/m/02wyzl3
Noel Streatfeild
1936
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 12
about 2
absentminded 1
academy 1
accompanied 2
achieve 1
act 1
acting 4
adopted 1
afford 1
after 3
against 1
age 1
ago 1
airplanes 1
all 6
almost 1
also 2
although 1
amount 1
an 3
and 31
anything 2
are 4
arranges 2
arts 1
as 8
at 5
attending 1
auto 1
away 1
babies 1
baby 1
balance 1
balancing 1
ballet 2
bank 1
be 2
because 2
become 2
been 1
before 1
begin 2
being 1
between 1
boarders 2
book 3
books 1
brilliant 1
brown 1
but 5
by 6
called 1
can 3
career 1
child 1
childhood 1
children 6
clashes 1
classes 2
comes 1
concern 1
contact 1
convince 1
could 1
council 1
county 1
dance 2
dancer 2
dancing 5
dane 1
decide 1
decides 1
desire 1
despite 1
develop 1
developing 1
different 1
differs 1
disappears 1
discovered 1
does 1
doesnt 3
door 1
down 2
dr 2
drama 2
dream 2
during 2
each 1
early 2
earn 1
earnings 1
elderly 1
embarks 1
end 1
ends 3
engines 1
english 1
enough 1
entirely 1
everybody 1
expedition 1
failed 1
family 3
famous 1
fees 1
fidolia 1
film 1
financially 1
find 1
first 2
five 1
flying 1
focused 1
for 9
fossil 1
fossils 1
friction 1
from 3
front 1
futures 1
garage 1
gets 1
girls 3
go 1
goes 2
going 2
gone 2
grandfathers 1
greatniece 1
greatunclematthew 2
gum 4
happened 2
has 8
have 2
he 8
head 1
help 4
her 15
herself 2
him 4
his 4
history 1
hold 1
hollywood 1
home 1
household 1
humility 1
if 1
implies 1
important 2
in 12
include 1
insensitive 1
inspired 1
interested 2
into 2
introduces 1
is 12
it 4
jakes 1
keep 1
kept 1
last 1
laws 1
lead 2
learns 1
left 1
limiting 1
little 1
live 1
loathes 1
london 1
long 1
longer 1
madame 1
make 2
many 2
matthew 1
mature 1
may 1
means 1
meanwhile 1
meet 1
minimum 1
miraculously 1
miss 1
moment 1
money 4
mr 1
mrs 1
much 2
must 2
name 1
nana 3
nanny 1
narrative 1
narrator 1
never 1
no 2
nobody 1
not 2
of 17
off 1
office 1
on 7
onethird 1
onto 1
or 3
order 1
our 3
over 1
own 4
pair 1
paleontologist 1
parts 2
passion 1
pauline 4
peg 1
people 1
perform 1
performing 3
petrova 6
picked 1
play 1
plot 1
post 1
posy 5
prague 1
producer 1
production 1
professionally 1
professor 1
promised 1
put 1
quit 1
reach 1
real 1
realise 1
repair 1
repeated 1
replaces 1
responsibility 1
retired 1
return 2
role 1
rules 1
runs 1
russian 1
save 1
say 1
school 2
schooling 1
sent 1
set 2
she 15
simpson 2
sisters 5
six 1
slightly 1
smith 1
so 2
some 1
soon 2
spend 1
stage 3
still 3
struggle 1
success 1
successful 2
such 1
support 3
supporting 1
sylvia 4
take 4
talent 5
talents 1
teach 1
teacher 1
teaches 1
teenagers 1
tell 1
that 5
the 40
their 5
then 1
theo 1
they 9
think 1
this 2
those 1
though 2
three 4
through 1
time 1
to 24
too 2
track 1
training 1
travels 1
tried 1
try 1
trying 2
tutors 1
twelve 1
unclear 1
under 1
understudy 1
until 1
up 1
upon 1
variety 1
very 2
views 1
vow 2
walks 1
want 1
wasnt 1
way 2
we 1
what 2
when 3
which 4
while 2
who 5
whom 1
wife 1
will 3
wing 1
with 3
wonders 1
world 1
would 1
years 3
young 2
