21251990
/m/05c374n
/m/05c374n
Joe Haldeman
2008
12x 1
15 1
1th 1
23rd 1
a 18
about 4
accidentally 1
accompanied 2
actually 2
advanced 1
advises 1
after 1
again 2
aided 1
alien 1
all 1
allow 1
allowing 1
altered 1
an 3
and 27
androgynous 1
angeles 1
apathy 1
appearing 1
arrested 1
arrive 2
arriving 1
artificial 1
as 3
assigned 1
assimilated 1
assistant 1
at 2
attack 1
attempting 1
avoid 1
back 1
bailed 1
be 4
bears 1
been 2
begin 2
being 4
beings 2
between 1
book 1
both 2
built 1
but 2
by 6
calibrator 1
california 1
called 1
campus 1
can 3
catch 1
century 3
children 1
christianlike 1
complete 1
confrontation 1
construct 1
continue 1
continues 1
controls 1
couple 1
credit 1
curious 1
dealer 1
death 1
depart 1
did 1
die 1
disappear 1
discover 1
discovered 1
discovering 1
dominated 1
drug 1
either 1
encounter 1
end 2
entirely 1
events 1
eventually 1
everincreasing 1
evolutions 1
exact 2
fervour 1
few 1
fifth 1
find 1
finding 1
finds 2
flee 1
for 3
forward 4
from 3
fuller 1
further 2
future 7
futures 1
gets 1
goal 1
grandchild 1
gravity 1
group 1
had 1
has 2
have 2
having 2
he 6
heart 1
heat 1
her 2
here 1
him 3
himself 1
his 5
historical 2
humanity 2
if 1
in 17
including 1
inside 1
intelligence 1
intelligent 2
intervals 1
into 3
invention 1
invents 1
ironically 1
is 12
it 4
itself 1
jesus 2
jew 1
join 1
journey 1
jump 1
jumping 1
jumps 1
just 1
killed 1
knowledge 1
la 5
las 1
late 1
learned 1
left 1
life 1
light 1
live 1
lives 1
location 2
los 1
loyal 1
machine 4
main 1
mandatory 1
marsh 2
marta 1
martha 7
materializing 1
matt 14
matthew 1
matts 1
measure 1
meet 1
meets 1
messages 2
mid21st 1
middle 1
mit 5
months 1
mortality 1
mountain 1
murder 1
must 1
named 1
narrowly 1
new 3
no 2
nobel 1
not 3
note 1
ocean 1
of 16
on 2
once 2
only 2
opt 1
option 1
or 2
other 1
out 1
outside 1
own 2
people 1
perceived 1
physics 2
place 1
point 2
prize 1
professor 3
pursuit 1
quickly 1
race 1
radically 1
reach 1
receive 1
records 1
referring 1
relationships 1
religious 1
rematerializing 1
research 1
reveals 1
sacrifice 1
satisfied 1
send 2
sending 1
sends 1
sent 1
servant 1
several 2
she 1
shortly 1
significantly 1
society 3
someone 1
something 1
spacecraft 1
species 1
specific 1
specify 1
stall 1
strictly 1
studies 1
subliminal 2
subsequently 1
taken 1
teaches 1
that 6
the 28
their 1
them 4
theocracy 2
these 1
they 9
this 5
thousand 1
time 13
to 20
travel 3
tutor 1
uncircumcised 1
undergo 1
unfortunately 1
universe 1
up 1
upon 2
urging 1
warns 1
wealthy 1
when 3
where 3
which 2
while 2
who 5
will 2
willingness 1
wishes 1
with 1
witnessed 1
woman 1
won 1
worried 1
years 2
yet 1
