914619
/m/03pgqz
/m/03pgqz
Michelle Magorian
1981-03-01
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
13 1
40 1
a 26
abhorring 1
able 2
abused 1
adopt 1
after 2
against 1
all 1
allow 1
already 1
also 1
although 1
among 2
and 30
annie 1
any 2
apparently 1
are 1
arrives 1
as 9
association 1
at 4
authorities 2
avoided 1
away 2
baby 4
back 3
bad 1
badly 1
badtempered 1
be 3
because 1
become 2
becomes 3
beech 1
been 9
begins 1
believing 1
between 1
beyond 1
bike 2
blaming 1
bomb 1
bombardment 1
bond 1
bookcase 1
both 1
boy 3
break 1
britain 1
bruised 1
bruises 1
but 2
by 8
calls 1
can 1
cannot 1
care 2
changed 1
child 1
children 5
christens 1
church 1
circle 1
cities 1
city 1
clad 1
classmates 1
closet 1
come 1
committed 1
community 1
conceive 1
countryside 1
couples 1
covered 1
cupboard 1
dad 1
damaged 1
days 1
dead 1
death 1
depressed 1
deptford 1
details 2
disciplined 1
discovering 1
distant 1
distress 1
disturbing 1
doctor 2
door 1
down 2
dramatics 1
drawing 1
drugged 1
edge 1
educate 1
either 1
embrace 1
emotionally 1
empty 1
ending 1
enjoy 1
enough 1
escape 1
evacuated 1
even 1
eventually 2
farewell 1
father 1
favourite 1
feed 1
feeling 1
fellowevacuee 1
finally 1
finds 1
first 1
for 5
forming 1
found 1
friends 2
from 6
full 1
furious 1
gags 1
german 1
girl 1
gives 1
good 2
griefstricken 1
growing 1
guardian 2
had 4
halfsister 1
happily 1
hartridge 1
has 11
have 4
having 1
he 13
hear 1
helpful 1
helping 1
her 4
hill 1
him 18
himself 1
his 26
holding 1
holiday 1
home 8
homelife 1
horrific 1
hospital 1
hospitalised 1
house 1
however 1
hurries 1
ii 1
immediate 1
in 13
including 1
initially 1
injured 1
inside 1
into 2
is 25
it 4
jewish 1
kidnaps 1
killed 1
kindness 1
knocking 1
last 1
later 2
learn 2
learning 2
learns 2
life 1
likely 1
little 4
live 2
lives 4
local 1
locality 1
locates 1
locked 2
locks 1
london 3
longer 1
lost 1
luckily 1
luftwaffe 1
malnourished 1
man 1
many 1
may 1
milk 1
mister 2
mother 9
mr 2
much 1
neglecting 1
neighbourhood 1
never 1
new 1
news 1
next 2
nightmares 1
not 4
number 1
oakley 1
observe 1
of 16
offer 1
on 4
or 2
ordeal 1
other 3
out 2
own 1
painful 1
persuades 1
physically 1
place 1
pleased 1
policeman 1
pregnant 1
premonition 1
presence 1
prevent 1
previously 2
proficient 1
progress 1
properly 1
provide 1
realise 1
realises 2
receives 1
reclusive 2
relationship 1
relatives 1
religious 1
requests 1
result 1
return 1
reunion 1
revealed 1
ride 2
right 1
salmouth 1
saying 1
scarletina 1
scene 1
school 1
screams 1
seaside 1
sees 1
sent 2
september 1
she 5
shocked 1
sick 1
simply 1
sin 1
sister 1
sixties 1
small 1
so 1
some 2
someone 1
something 1
son 2
sons 1
stairs 2
stands 1
stay 1
steep 1
such 1
suffers 1
suicide 1
take 1
taken 1
takes 1
teacher 1
tell 1
telling 1
that 14
the 32
then 2
there 1
they 3
theyve 1
thing 1
things 1
thinks 1
thinly 1
this 3
thomas 1
though 2
threatened 1
through 1
throws 1
ties 1
time 3
to 26
together 2
told 1
tom 14
touched 1
trace 1
traced 1
train 1
transformed 1
travelled 1
treats 1
unable 2
under 3
underfed 1
understanding 1
unmarried 1
upbringing 1
upon 1
ventures 1
very 2
village 3
waiting 1
wants 1
war 2
warned 1
was 4
weirwold 3
when 2
where 2
while 2
whilst 2
who 6
whose 1
widow 1
widower 1
wife 1
will 2
william 27
willie 3
with 11
woman 1
world 1
wrong 1
years 1
young 1
zach 10
