4242187
/m/0brvc1
/m/0brvc1
George Selden

a 7
age 1
among 1
and 7
at 1
avenue 2
avoid 1
bakery 1
basement 1
be 1
become 1
becomes 2
book 1
born 1
box 1
building 1
character 2
chester 1
children 1
cricket 2
decided 1
disused 1
down 1
drain 1
empire 1
ends 1
eventually 1
fled 1
for 1
friends 2
from 2
goods 1
gramercy 1
harry 2
harryyoure 1
he 4
heard 1
his 3
home 1
homebaked 1
in 5
kitten 3
kleenexes 1
learn 1
meets 1
merry 1
mouse 1
name 2
nest 1
new 1
odds 1
of 5
on 2
one 1
other 2
own 1
park 1
pipe 1
places 1
said 1
sanitation 1
search 1
settle 1
square 2
state 1
station 1
story 1
subway 1
take 1
takes 1
talking 1
tells 1
tenth 2
the 11
their 2
them 1
they 1
times 2
to 4
too 1
took 1
tucker 3
two 3
wanderings 1
wanted 1
was 1
we 1
who 3
workers 1
york 1
young 2
