22346664
/m/05syjf1
/m/05syjf1
Charlaine Harris
2006-05-02
{"/m/039vk": "Gothic fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/01qxvh": "Romance novel"}
a 10
able 1
affairs 1
after 2
all 1
also 1
amelia 6
among 1
and 18
andre 1
apartment 5
are 2
arkansas 1
arrives 1
as 1
asks 1
attack 2
attacked 1
attend 1
attending 1
attracts 1
back 3
be 1
behind 1
being 1
bill 1
blood 1
bob 1
bon 2
book 1
boyfriend 1
bracelet 2
break 1
breaks 1
broadway 1
business 1
by 3
calls 1
carefully 1
cat 1
cataliades 1
celebration 1
conversation 2
couple 1
course 1
cousin 1
cunning 1
day 1
dead 1
decides 1
delayed 1
diamond 1
differences 1
directly 1
disaster 1
discovery 1
due 2
ectoplasmic 1
emergency 1
ends 1
entourage 1
eric 2
events 3
eventually 1
everett 1
fairy 1
family 1
fighting 1
find 1
finds 1
following 1
for 2
from 1
given 1
go 2
goes 1
group 1
hadley 9
has 1
help 2
helpful 1
her 7
here 1
his 1
husband 1
in 4
influence 1
interfering 1
into 2
is 7
it 2
its 1
jake 2
john 1
kidnap 1
king 1
landlady 1
later 1
leads 1
leclerq 1
like 1
locate 1
look 1
louisiana 1
magically 1
make 2
man 1
mean 1
missing 2
move 1
mr 1
murdered 1
named 1
new 5
newly 1
next 1
night 3
of 9
on 3
once 2
orleans 2
other 1
out 2
part 1
party 1
peers 1
pelt 1
pelts 1
perform 1
peter 2
place 1
placed 1
plan 1
play 1
political 1
private 1
purifoy 2
queen 2
quinn 4
rasul 1
ready 1
reconstruct 1
reconstruction 1
removed 1
resolve 1
revealed 1
revelation 1
rising 1
room 1
runs 1
see 1
sends 1
seventh 1
she 5
shreveport 1
so 2
some 1
something 1
sookie 15
sophieanne 6
sort 1
spell 5
stackhouse 1
stasis 2
such 1
supernaturals 1
surviving 1
take 1
taken 1
talented 1
tells 1
temps 2
that 8
the 28
their 4
there 1
therefore 1
they 1
things 2
this 3
threadgill 2
through 1
throw 1
to 20
together 3
told 1
transport 1
truth 1
turned 1
turning 1
under 1
union 1
vampire 4
violence 1
was 4
way 1
were 2
weres 1
when 3
where 2
while 1
who 1
whose 1
witch 1
witches 1
with 4
would 2
wounded 1
young 2
