539758
/m/02n18t
/m/02n18t
Franz Kafka

a 16
about 1
absurd 1
access 1
accommodate 1
action 1
actions 2
adult 1
after 1
all 1
although 1
ambiguity 1
an 3
and 10
any 2
appear 3
appears 1
are 7
arrives 1
as 6
assumptions 2
at 2
attempt 2
authorities 1
barmaid 1
be 8
being 2
between 2
brigade 1
brought 1
brunswick 1
builds 1
bureaucracy 4
bureaucratic 1
but 2
by 7
cannot 1
caretaker 1
castle 11
chairman 3
come 1
communication 1
companionship 1
conception 1
consideration 1
considered 1
contact 1
continues 1
contradict 1
contradictions 1
copious 1
council 3
course 1
customs 1
dealings 1
declaration 1
declares 1
defend 1
description 1
descriptions 1
destroys 1
determine 1
different 1
discussed 1
dissertation 1
do 5
elaborately 1
enumerated 1
erlanger 2
erroneously 1
even 2
everyone 1
explained 1
explanation 1
eyes 1
failures 1
falsely 1
feature 1
features 1
female 1
fire 1
flagrant 1
flaw 1
flawless 1
flawlessness 1
for 1
forced 1
founded 1
frieda 2
from 1
functions 3
gain 1
genesis 1
given 1
gives 1
gossip 1
governed 1
hans 1
has 1
have 2
having 1
he 5
herself 1
hide 1
highest 1
him 1
himself 1
his 2
hold 1
implied 1
importance 1
in 10
informs 2
inhabitants 1
inn 1
instances 1
instead 1
interact 1
interrogation 1
introductory 1
is 11
it 3
its 1
justifications 1
justifying 1
k 9
klamm 2
know 1
knows 1
land 1
latter 1
lengthy 1
lie 1
little 1
maintains 1
may 1
meanwhile 1
men 1
mentioned 1
misprocessing 1
mix 1
monologues 1
more 2
mysterious 1
named 1
narrator 1
nature 1
nearby 1
need 1
never 2
nighttime 1
no 1
not 2
notable 1
note 1
notified 1
number 1
obvious 1
occasionally 1
occupants 1
of 14
offers 1
official 4
officials 9
often 1
on 2
one 2
only 1
or 2
other 4
otto 2
out 1
paperwork 3
person 1
position 1
praise 1
praised 1
processes 1
quickly 1
quite 1
reach 1
recipient 1
reference 2
referred 1
regard 1
report 1
request 1
requested 1
required 1
resides 1
return 1
routines 1
school 1
secretaries 1
secretary 1
seeking 1
servant 1
service 2
sexual 1
shelter 1
should 2
simply 1
single 1
son 1
strong 1
summoned 1
surveyor 1
system 1
taboo 1
teacher 1
than 1
that 11
the 62
their 3
themselves 1
there 2
they 6
this 1
though 2
through 2
times 1
to 23
town 1
townspeople 1
try 1
trying 1
two 1
ultimate 1
unfamiliar 1
unless 1
up 1
very 1
village 8
villager 1
villagers 4
was 1
way 2
what 1
when 2
which 2
who 2
wife 1
will 1
with 4
within 1
witnesses 1
word 1
work 1
