24901407
/m/09gq4w9
/m/09gq4w9
Derek Landy
2010-04-01
200 1
a 11
able 1
about 2
activates 1
afraid 1
after 3
agent 1
agree 1
agrees 1
alive 1
allow 1
allows 1
alone 1
also 1
alternate 1
an 3
and 30
apparently 1
are 3
area 1
as 2
at 1
attack 3
attacking 1
attacks 1
away 1
back 1
badly 1
be 5
becoming 1
been 1
before 2
begin 1
believed 1
believes 1
between 1
billyray 2
bite 1
bitten 1
blood 1
body 1
bomb 3
book 2
bottom 1
break 3
bringer 3
build 1
burning 1
but 5
by 8
called 2
can 1
captured 1
chair 1
chaotic 1
characters 1
china 2
club 3
confessed 1
control 1
convinced 1
crime 1
croke 1
crux 1
darquesse 2
death 5
decided 1
deduces 1
designed 1
desolation 7
destroy 1
destroying 1
destroys 1
detective 2
detonate 1
detonates 1
dimension 1
disapproves 1
discover 1
discovering 1
do 2
does 1
down 2
dreylan 1
dusk 3
engine 7
entertaining 1
even 1
evil 2
faceless 2
family 1
father 1
few 1
fight 2
first 1
flees 1
fletcher 7
for 5
forces 1
forcing 1
forever 1
formed 1
framed 1
framing 1
free 2
from 5
get 1
getting 2
ghastly 3
glimpsed 1
go 1
goes 2
grouse 1
guild 1
hallucinating 1
has 4
have 2
having 1
he 8
headed 1
her 10
him 8
his 3
home 1
horde 1
horrified 2
horror 1
hotel 1
house 1
however 1
hunting 1
in 13
informs 1
initially 1
injured 1
into 1
is 11
isolated 1
it 1
jack 1
jail 1
just 1
kenspeckle 5
kidnap 1
kill 1
killed 2
kiss 1
kissed 1
last 1
learn 1
learning 1
learns 1
leaving 2
left 2
legs 1
life 1
lord 1
lying 1
made 1
many 1
marr 2
midnight 1
missing 1
moment 1
more 2
mother 1
murdered 1
myron 1
nailing 1
name 1
names 1
narrowly 1
necromancer 1
necromancers 1
necromancy 1
not 2
of 6
off 1
on 2
ones 2
only 2
order 1
orders 1
original 1
other 1
others 1
outrunning 1
parents 1
park 1
past 1
person 1
plans 1
portal 2
powerful 1
prediction 1
pregnant 1
preventing 1
prison 2
process 1
proof 1
reacts 1
realising 1
recapture 1
recovered 1
refuses 1
remember 1
remnant 3
remus 1
repair 1
replacement 1
rescue 3
retrieve 1
retrieved 1
retrieves 1
returns 2
revenge 1
revenger 3
safely 2
sanctuary 5
sanguine 1
saying 1
scapegrace 2
scarab 5
second 1
sending 1
sensitives 1
several 1
severely 1
shared 1
she 6
skulduggery 10
skull 2
so 2
solomon 1
soon 1
sorceress 2
spare 1
springheeled 1
stadium 1
steal 1
strangely 1
stray 1
strongly 1
tanith 7
team 1
teleports 1
tell 1
that 8
the 43
them 2
then 3
they 7
this 1
thought 1
through 2
thurid 8
time 1
to 26
torture 1
track 1
transport 1
treated 1
true 1
unexpected 1
unless 1
use 2
valkyrie 17
vampire 1
vampires 1
vaurien 2
vile 1
vision 1
walls 1
want 1
was 4
when 1
where 1
which 3
while 1
who 4
will 3
with 3
world 1
wounding 1
wreath 3
wronged 1
years 2
zombies 1
