8715119
/m/027f_7p
/m/027f_7p
Georgette Heyer
1946
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0c3351": "Suspense"}
a 9
accepts 1
and 6
at 2
back 1
battles 1
becoming 1
between 1
by 1
carlyon 3
carriage 1
cheviot 2
coerced 1
comes 1
conspiracy 1
country 1
cousin 1
daughter 1
dazed 1
death 1
dying 1
edward 1
elinor 5
estate 1
eustace 2
fall 1
family 1
finds 2
following 1
french 1
gentleman 1
governess 1
hands 1
heroine 1
herself 3
his 1
house 1
in 6
incriminating 1
information 2
into 3
is 2
light 1
love 1
man 1
marry 1
mistress 1
name 1
night 1
of 4
one 1
only 1
partner 1
profligate 1
required 1
results 1
rochdale 1
role 1
ruined 2
safe 1
save 1
secret 1
sensible 1
some 1
somewhat 1
soon 1
sophisticated 1
spirited 1
state 1
stepping 1
subplot 1
supplied 1
surrounding 1
sussex 1
sustain 1
taken 1
the 11
to 5
ultimately 1
village 1
war 1
whom 1
wife 1
with 1
wrong 2
