11684894
/m/02rnxk3
/m/02rnxk3
Jim Butcher
2003-08-05
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
24 1
5 1
a 32
abandoning 1
able 1
about 3
accident 1
accords 1
actions 1
activates 1
acts 1
after 2
agrees 1
aid 1
airport 3
alive 1
all 2
allows 1
almost 2
america 1
an 7
and 40
angel 1
angelic 1
anna 2
anonymously 1
another 1
antilife 1
apartment 1
apparently 2
archive 4
are 2
arrangements 1
arrive 1
arrives 1
art 1
as 6
ask 1
asks 3
at 5
attached 1
attack 1
attacked 1
attacking 1
attacks 1
attempts 1
back 1
ball 1
barbecue 1
basement 1
battle 1
be 5
because 1
become 1
becoming 1
been 1
before 2
being 1
between 2
binds 1
black 1
blood 1
boarding 1
boat 2
bodyguard 1
bon 1
bond 1
boyfriend 1
brings 1
broke 1
bury 1
but 8
by 13
calls 1
came 1
camp 1
can 2
cancer 1
cannot 1
capture 1
captured 1
carpenter 1
casaverde 1
case 1
cast 1
catch 1
charity 1
cheated 1
cheats 1
chicago 4
chicagos 1
child 1
chosen 1
church 1
city 1
coin 2
comatose 1
comforts 1
commitment 1
conducted 1
consulting 1
consults 1
contacts 1
contain 1
containing 1
control 1
corpse 2
council 2
courageous 1
court 3
covering 1
crashed 1
create 1
cross 1
cure 1
curse 2
dawn 1
day 2
days 1
deadly 1
decides 1
decoy 1
default 1
defeat 1
defenses 1
deirdre 3
deliberate 1
denarian 6
denarians 3
details 1
diagnosed 1
did 1
didnt 1
die 4
died 1
discover 1
discovers 1
disease 1
disseminate 1
does 1
double 1
draws 1
dresden 39
dresdens 2
dripping 1
driven 1
drives 1
drop 1
duel 6
duelling 1
duellist 1
duke 1
duster 1
dying 1
each 1
ebenezar 1
eight 1
either 2
emotional 1
enchanted 1
end 1
enlists 1
escape 2
escaping 1
evade 1
evening 1
event 1
events 1
every 1
everyone 2
evict 1
excellent 1
expiring 1
exterminate 1
eye 1
fallen 1
father 4
favor 1
february 1
fee 1
fellowship 4
fidelacchius 1
field 3
fight 1
fights 1
finding 1
fired 1
first 1
flees 1
fools 1
for 4
forces 1
former 1
forthill 2
fortress 1
fowler 1
freak 1
from 5
giles 1
girl 3
give 1
goes 1
going 1
guarantor 1
guests 1
had 2
halfturned 1
handcuffed 1
hang 1
harm 1
harry 8
has 3
he 13
heads 1
heal 1
heart 1
helped 1
helping 1
her 11
high 1
him 7
himself 2
hired 1
hires 1
his 12
home 2
honduras 1
horus 1
hospital 1
host 1
hours 1
house 2
however 2
hub 1
humanity 1
humans 1
hunger 1
if 6
in 16
incinerating 1
instantly 1
international 1
interrupted 1
into 4
investigate 1
involved 2
is 34
it 8
its 1
itself 1
ivy 1
johnny 1
judas 1
just 1
kidnap 1
kill 2
killed 1
kills 1
kincaid 3
knight 1
knights 7
know 1
knowing 1
knowledge 1
known 1
kosmos 1
lab 2
larry 1
larrys 1
lasciel 1
last 1
late 1
later 2
leader 1
learns 1
leather 1
leave 2
leaving 1
letter 1
life 3
likely 1
limo 1
lindquist 1
little 1
local 1
locate 1
loses 1
louis 2
lover 1
mad 1
magically 1
make 1
making 1
man 2
marcone 9
martin 1
marys 1
mcannallys 2
mccoy 1
means 1
mediator 1
meet 2
mentor 1
michael 4
michaels 3
months 1
mordite 2
morgue 1
morning 1
mortal 1
mortimer 1
move 1
murphy 1
must 1
name 2
nature 1
nearly 1
necktie 1
needs 1
neutral 1
new 2
news 2
next 2
nicodemius 1
nicodemus 5
no 1
noose 1
normal 1
not 4
now 1
of 21
ohare 1
old 3
on 3
one 3
only 1
onto 1
or 1
oracle 1
order 1
organization 1
ortega 5
ortegas 2
other 2
out 3
outside 2
overpowered 1
paulo 1
paying 1
peru 1
pick 1
piece 1
place 1
plague 4
plan 1
powered 1
powerful 1
prevent 1
priest 1
producer 1
professor 1
prophecy 2
protects 1
pursued 1
quell 1
races 1
raith 1
realizes 1
reason 1
recaptured 1
receive 1
received 2
receives 1
recover 2
recuperates 1
red 4
refuses 2
remaining 1
rescue 1
rescues 1
retrieve 1
returned 2
returns 1
reveal 1
run 1
rural 1
rushes 1
sacrifice 1
safe 1
said 1
sale 1
sales 1
saluriel 1
same 1
sanya 2
sanyas 1
satellite 1
save 5
says 1
scent 1
secluded 1
second 4
secret 1
see 2
seek 1
seize 1
selected 1
semivampiric 1
settle 1
severely 1
sex 1
she 5
shes 1
shiro 7
shiros 1
short 1
shortens 1
shot 1
shots 1
show 3
shows 1
shroud 13
sidelined 1
similar 1
since 1
snatches 1
sneak 1
so 2
society 1
sold 1
son 1
south 1
soviet 1
spell 1
spirit 1
spiritualist 1
st 4
standstill 1
states 1
steals 1
still 1
stolen 2
stone 1
stop 1
stopped 1
strangely 1
strangles 1
strong 1
sum 1
summer 1
sundown 1
surge 1
surviving 1
survivors 1
susan 11
swarm 1
take 2
taking 1
talking 1
taping 1
tattoo 1
tavern 1
tells 4
that 10
the 93
their 1
them 4
then 1
there 1
they 6
thief 1
thieves 2
this 6
thomas 1
three 1
through 1
tickets 1
time 3
to 55
tortured 1
tossing 1
touches 1
town 1
tracks 1
trades 1
trails 1
train 3
travel 1
trust 1
trying 1
turin 1
tux 1
two 1
twoweek 1
uncuff 1
understand 1
unidentified 1
university 1
until 1
up 2
ursiel 1
used 1
usual 1
valmont 2
vampire 1
vampires 3
vatican 1
vincent 2
volunteers 1
voyage 1
waiting 1
wants 1
war 1
warriors 1
was 2
watch 1
weapon 3
wearer 1
were 1
when 2
where 2
which 4
while 2
white 2
who 5
whole 1
whose 1
will 8
willpower 2
wills 1
winning 1
wins 1
with 9
wizard 1
works 1
worn 1
would 1
wounds 1
wrigley 2
written 1
yard 1
youngest 1
