5806088
/m/0f5zp2
/m/0f5zp2
Margaret Haddix
2005-06
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction", "/m/026ny": "Dystopia"}
a 19
abandoning 1
able 2
actually 1
afterward 1
again 1
agent 1
aid 1
alia 8
alive 1
all 1
allies 1
allowances 1
allows 1
ally 1
along 1
also 2
among 2
an 2
and 29
apologize 1
appear 1
apprehended 1
are 9
area 1
arrive 1
as 5
association 1
at 4
avoid 1
barstow 1
base 1
be 2
before 1
believes 1
believing 1
best 1
betrayed 2
between 1
both 1
boy 2
brave 1
but 1
by 6
cabin 2
called 1
camp 1
cards 2
caught 2
children 1
commander 6
company 1
contains 1
content 1
cottage 2
crashes 1
critically 1
crossfire 1
days 1
dead 1
deadly 1
death 1
decides 2
destroyed 1
devastated 1
dies 1
discover 1
do 1
doctor 1
doing 1
doubleagent 1
drag 1
during 1
dwellers 1
else 1
empty 1
encounters 1
end 1
ends 1
enemies 1
enjoy 1
entire 1
escape 1
escapes 1
eventually 1
everyone 1
exacting 1
exchange 1
expected 1
expose 1
fake 1
falls 1
favor 1
favorite 1
find 1
finding 1
finds 2
food 2
for 4
forest 3
friend 1
friends 4
from 8
full 1
garner 1
get 1
getting 1
goes 1
grieves 1
grieving 2
having 1
he 12
headquarters 3
help 2
hendrick 2
hendricks 2
her 1
hide 1
hideout 1
hiding 1
himself 1
his 6
hopes 2
house 1
however 2
id 2
ill 1
illegal 1
immediately 1
in 6
including 1
information 1
injuring 1
instead 1
into 3
introduced 1
involving 1
is 9
it 3
its 1
jason 1
killed 1
leader 1
lee 1
lending 1
life 1
local 2
luke 1
make 1
makes 1
many 2
matthias 16
meeting 1
mike 3
missing 1
mr 6
mrs 3
must 1
nail 1
nedley 1
next 1
niedler 1
nina 5
now 2
of 8
officer 1
once 1
one 1
other 3
others 1
over 1
overhear 1
overjoyed 1
overthrowing 1
pair 1
people 1
percy 8
perished 1
place 1
plan 1
plans 1
poison 1
police 10
population 12
pretends 1
prevent 1
previously 1
process 1
provides 1
put 1
real 1
realizes 1
rebel 2
rebels 1
relieved 1
reluctantly 1
remain 3
reports 1
result 1
return 1
returning 1
returns 1
reveals 3
run 1
runs 1
safe 1
saved 2
saving 1
school 1
secret 1
several 2
she 2
shootout 1
shot 1
slashes 1
soon 4
special 1
stop 1
suddenly 1
supposedly 1
taken 1
takes 1
talbot 5
talented 1
targeted 1
thanks 1
that 6
the 30
their 1
them 1
then 2
they 9
thirds 1
though 3
tiddy 6
tidwell 1
tires 1
to 28
torched 1
tree 1
trouble 1
truck 1
trying 1
undercover 1
unexpectedly 1
until 1
up 2
upon 1
very 1
warehouse 3
way 1
well 1
were 1
what 2
when 3
where 4
which 1
while 1
who 2
whose 1
wife 1
will 1
with 7
work 1
working 1
would 1
