20841003
/m/053zq_n
/m/053zq_n
Lily Brett
1990
{"/m/012jgz": "Autobiographical novel"}
1 1
146 1
148 1
a 5
after 2
again 1
among 1
an 1
and 11
apart 1
are 2
around 1
artist 1
as 2
auschwitz 1
australian 1
away 1
be 1
bensky 1
benskys 1
born 1
both 1
boyfriends 1
camp 2
children 1
commemorate 1
completely 1
concentration 1
crimes 1
d 2
daughter 1
deported 1
does 1
downfall 1
dp 1
during 1
endure 1
experience 1
far 1
fellow 1
figure 1
finally 1
find 1
first 2
for 1
forced 1
forget 1
friends 2
from 2
garth 1
gets 1
ghetto 1
girl 1
good 1
group 1
grow 1
had 2
has 2
her 6
holocaust 1
horrible 1
husband 1
immigrants 1
in 5
interview 1
is 1
jewish 1
job 1
josl 2
knows 1
life 3
live 3
lola 4
love 1
magazine 1
marriage 1
marries 1
meet 1
melbourne 1
mixture 1
move 2
moves 1
never 2
new 2
normal 1
not 1
of 7
out 1
overweight 1
own 1
parents 1
past 1
poland 1
polish 1
possible 1
problems 1
raise 1
raises 1
reich 1
renia 2
rock 1
she 8
shortly 1
since 1
soon 1
stars 1
start 1
starts 1
the 11
their 3
they 8
third 1
this 2
through 1
tight 1
time 1
to 17
town 1
travel 1
tries 1
try 3
trying 1
turns 1
understand 1
up 1
weird 1
what 1
when 1
whom 1
will 2
with 2
world 1
write 1
york 1
