2183179
/m/06t3ny
/m/06t3ny
Rudy Rucker

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
3d 1
4d 2
a 18
ability 1
about 2
addiction 1
advice 1
after 1
all 3
and 4
another 1
are 1
as 2
at 2
attention 1
attract 1
augments 1
becomes 1
before 2
beings 2
bent 1
brings 2
broadcasting 1
budding 1
business 2
but 2
by 2
called 1
calls 2
clearer 1
company 3
complicated 1
contacted 1
cooling 1
create 1
creatures 1
cube 1
dimension 3
dimensional 1
directions 1
discovers 1
do 1
does 1
else 1
encounters 1
enemies 1
entire 1
eve 1
executive 1
explode 1
eye 1
eyepopping 1
fast 1
fate 1
for 3
four 2
fourth 1
from 2
fruit 1
gets 1
giving 1
grow 1
has 1
he 1
helping 1
high 1
him 5
his 3
home 1
image 1
impress 1
in 4
into 3
ipo 1
is 6
it 5
jena 1
joe 6
kill 1
las 1
late 1
let 1
like 1
making 1
marriage 2
messily 1
millennium 1
milliondollar 1
momo 7
money 1
much 1
must 1
new 4
night 1
no 1
nothing 1
of 6
offer 1
on 3
once 1
our 3
perspective 1
plot 1
potential 1
power 1
product 2
proposition 1
prototype 1
purple 1
race 1
red 1
refuse 1
revelation 1
ride 1
rubbery 1
rug 1
sage 1
scheme 1
screen 1
see 2
she 5
shot 1
somebody 1
something 1
sometimes 1
spaceland 2
speak 1
specific 1
stake 1
stalk 1
standard 1
start 1
startling 1
steal 1
strange 1
suddenly 2
supply 1
surface 1
sworn 1
tasty 1
tech 1
television 1
that 5
the 15
their 1
themselves 1
thin 1
through 1
to 5
too 1
troubled 1
trying 1
turns 1
tv 1
universe 1
unusual 1
upside 1
using 1
vegas 1
voyages 1
wackles 2
waiting 1
warmth 1
well 1
when 2
which 2
who 2
wife 1
wild 1
will 2
with 1
woman 1
wont 1
words 1
world 2
year 1
