2723594
/m/03gq53f
/m/03gq53f
Alain-René Lesage

a 7
able 3
adaptability 1
adjust 1
age 1
along 1
and 10
as 1
at 2
attend 1
because 1
becomes 1
blas 1
born 1
both 1
bright 1
by 1
cantabria 1
castle 1
chambermaid 1
classes 1
clerical 1
course 1
court 1
different 1
disreputable 1
educated 1
enjoy 1
faced 1
favorite 1
finally 1
finds 1
forced 1
fortune 1
future 1
gil 2
hard 1
hardearned 1
he 5
help 1
himself 1
his 5
honest 1
in 2
intelligence 1
interrupted 1
is 8
jail 1
king 1
lay 1
leaves 1
life 1
many 3
meets 1
minister 1
misery 1
observe 1
occupation 1
of 7
over 1
oviedo 1
people 1
prime 1
quick 1
retire 1
robbers 1
route 1
salamanca 1
santillana 1
secretary 1
seventeen 1
several 1
situations 1
society 1
stablehand 1
suddenly 1
thanks 1
the 7
though 1
to 11
uncle 1
university 1
up 1
valet 1
way 1
when 1
wit 1
with 1
work 1
working 1
years 1
