4168704
/m/0bmvlj
/m/0bmvlj
Alice Walker

{"/m/0707q": "Short story"}
a 3
about 1
after 1
and 5
another 1
appreciation 1
around 1
at 1
away 1
back 2
be 1
because 3
being 1
between 1
butter 1
by 1
can 1
carved 1
centers 1
changes 1
characters 1
churn 1
clothing 1
college 1
conflict 1
contrasting 1
daughter 1
day 1
decides 1
decoration 1
dee 4
dinner 1
disrespects 1
effort 1
example 2
fact 1
family 2
for 4
forth 1
from 3
generations 2
goes 1
has 1
have 1
heirloom 1
her 7
heritage 5
however 1
ideas 1
identity 1
into 1
is 3
it 3
kemanjo 1
knows 1
leewanika 1
making 1
mama 1
many 1
mother 1
name 2
narrated 1
of 2
older 1
on 1
one 1
only 1
over 1
possessions 1
proud 1
put 1
quilt 1
quilts 1
reason 1
reflects 1
rejecting 1
respects 1
saying 1
she 11
showing 1
shows 1
some 1
states 1
story 3
struggle 1
that 8
the 13
their 1
them 2
they 1
though 1
throughout 1
time 1
to 2
traced 1
tree 1
uncle 1
use 1
used 1
visits 1
wangero 1
wants 4
when 3
will 1
wrong 1
