10855592
/m/02qs3wg
/m/02qs3wg
Chris Riddell
2004-09-02
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 6
about 1
academics 1
along 1
amberfuce 1
an 1
and 5
are 2
area 1
armies 1
arrival 2
as 1
at 1
attack 2
attacked 1
backed 1
banderbears 1
barkwater 1
battle 1
beautiful 1
before 1
begin 2
being 2
breakaway 1
but 1
by 6
capital 1
caught 1
causing 1
chieftains 1
city 1
cleared 1
combined 1
comes 1
dark 1
deepwoods 1
designed 1
destroy 1
destroyed 2
determinedly 1
eaters 2
edge 1
ends 1
equality 1
even 1
everyone 1
everything 1
exodus 3
fails 1
fight 1
fleeing 1
flocks 1
for 3
foundry 1
free 6
freeglade 2
freeglader 1
gets 1
ghosts 1
glade 3
glades 5
goblin 3
goblins 1
group 1
has 1
hatched 1
having 1
he 1
hero 1
him 1
his 4
however 1
in 4
is 4
joins 2
journey 1
justice 1
killing 2
knights 3
known 1
lancers 3
large 1
last 1
led 1
librarian 3
librarians 1
life 1
lose 1
maelstrom 1
mass 1
massive 1
meanwhile 2
memory 2
minute 1
months 1
most 1
mother 1
name 1
nations 2
near 1
new 1
numbers 1
of 11
on 2
only 1
others 1
outnumbered 1
partner 1
peaceful 2
pirates 1
plans 2
presents 1
reached 1
reaching 1
rebuilding 1
recently 1
regained 1
revolt 1
rook 3
roost 1
saved 1
screetown 1
sets 1
several 1
shrykes 1
sky 1
slowly 1
special 1
starts 1
storm 1
story 1
the 42
there 1
through 1
tide 1
timely 1
to 4
triggered 1
turn 1
twilight 1
two 1
undertown 1
undertowners 2
until 1
up 1
upon 1
vast 1
verlix 2
vox 2
war 1
weapons 1
with 3
woods 1
xanth 2
