33707752
/m/0hhq3x3
/m/0hhq3x3
Ian Kershaw
2011
{"/m/03g3w": "History"}
5 1
7 1
7000 1
a 7
accept 1
act 1
action 1
advance 1
advancing 2
after 2
aim 1
all 1
also 3
american 2
an 7
and 13
ansbach 1
ardennes 1
ardent 1
area 2
army 2
around 1
arrested 1
as 3
atrocities 1
attack 2
attempt 2
basic 1
be 2
begins 2
being 1
body 2
bolsheviks 1
bombing 1
book 1
broke 2
but 1
by 6
can 1
canals 1
captured 1
carried 1
caused 2
chapter 4
civilian 2
coal 1
colonelgeneral 1
command 1
commandant 3
commandants 1
continue 1
covers 2
crowd 1
cut 1
dead 1
death 1
deaths 1
defeat 1
destruction 2
detail 1
did 1
disrupt 1
down 1
dr 1
drops 1
drowned 1
east 1
end 1
entered 1
ernst 1
estimated 1
evacuation 1
eventually 1
example 1
fall 1
few 1
fiftythousand 1
fight 1
fighting 1
fills 1
finally 1
five 1
fled 1
fleeing 1
for 2
four 2
free 1
from 1
fully 1
georghans 1
german 5
gumbinnen 1
gustloff 1
hanged 1
hanging 1
happening 1
hatred 1
have 3
having 2
havoc 1
he 6
heavy 1
help 1
high 1
him 2
himself 1
his 2
hitler 1
hold 1
homeland 1
hoped 1
hours 1
how 2
in 10
insisted 1
into 1
is 4
it 4
kershaw 1
kicked 1
lack 1
lasting 1
later 1
launched 1
lead 1
letter 1
life 1
limpert 2
lines 1
local 1
looked 1
loss 1
lost 1
man 1
mass 1
massive 1
members 1
memel 1
meyer 1
millions 1
minutes 1
murder 1
nazi 2
nazis 1
neck 1
networks 1
no 2
noose 1
not 1
obvious 1
october 2
of 15
offensive 1
officer 1
on 8
one 2
onethird 1
order 1
ordered 1
other 2
our 1
out 2
outskirts 1
own 1
people 1
placed 1
point 1
police 1
population 2
prevent 1
production 1
protect 1
prussia 1
punched 1
questions 1
quickly 1
raids 1
rape 1
reason 1
recaptured 1
red 1
refusal 2
refused 1
region 1
reinhardt 1
remain 1
reported 1
reports 1
resulted 1
retaken 2
road 1
robert 1
rolling 1
rope 1
sabotage 1
same 1
second 1
seen 4
sentenced 1
shortly 1
show 1
since 1
sinking 1
soldier 1
some 1
south 1
soviet 2
soviets 1
steel 1
stinks 1
stock 1
student 1
such 2
supplies 1
supply 1
surrender 2
targeted 1
than 1
the 49
their 1
there 2
they 2
third 1
this 1
thoughts 1
three 1
to 16
took 1
touches 1
town 3
trial 1
tried 1
troops 2
turning 1
two 1
until 2
us 2
used 1
visited 1
war 1
warthegau 1
was 6
watching 1
we 2
wehrmacht 1
were 3
when 2
where 1
which 1
who 3
why 1
widespread 1
wife 1
wilhelm 1
with 4
would 2
wrote 1
wrought 2
wrzburg 1
young 1
youth 1
