14254036
/m/03cz93_
/m/03cz93_
Adalbert Stifter
1985
{"/m/05hgj": "Novel"}
a 7
accepts 1
allows 1
almost 1
alpine 1
among 1
an 1
and 9
approaches 1
approaching 1
are 1
art 1
as 1
at 1
attempts 1
avoid 1
be 2
becomes 2
believes 1
but 1
by 1
carefully 1
center 1
character 1
choices 1
choose 1
criticism 1
day 2
describes 1
detail 1
development 1
devoted 1
distance 1
dousing 1
early 1
education 1
emotional 1
encounter 1
estate 1
eventual 1
examination 1
excursions 1
expand 1
exploring 1
fairytale 1
father 4
fauna 1
firstperson 1
flora 1
foothills 1
for 1
freiherr 1
future 1
gardening 1
gentleman 1
geology 1
going 1
great 1
has 1
he 3
head 1
heinrich 10
highway 1
hiking 1
his 18
home 2
household 1
humility 1
in 4
including 1
influence 1
interested 1
interests 1
involvement 1
is 8
it 1
judgement 1
life 3
lifechoices 1
like 1
live 1
main 2
man 3
marriage 1
matronly 1
maturation 1
mentor 2
merchant 1
minutest 1
model 2
mother 1
mountains 1
mysterious 1
mystery 1
narration 1
narrative 1
natural 1
objectivity 1
of 14
off 1
older 1
on 2
one 1
ordered 1
orderly 1
other 1
out 2
own 3
owner 1
part 1
path 1
personal 1
planned 1
presented 1
regimented 2
region 1
repeated 1
residence 1
retrospective 1
risach 2
rosenhaus 4
scientist 1
season 2
seems 1
son 1
subsequent 1
that 1
the 19
things 1
this 1
thunderstorm 1
time 1
to 10
told 1
understanding 1
understated 1
upbringing 1
virtues 1
visits 1
von 1
way 1
we 1
what 2
when 1
who 2
will 1
wise 1
with 2
without 1
world 1
