11030596
/m/02qyn7w
/m/02qyn7w
Will Self
2003-06-26
181 1
a 9
about 1
acolyte 1
after 1
age 1
all 2
allure 1
an 1
and 10
another 1
around 1
artist 1
as 3
at 1
baz 1
be 1
beauty 1
becomes 1
been 1
body 1
brixton 1
broodmare 2
buggery 1
but 2
by 1
captured 1
captures 1
cathode 1
centre 1
certainly 1
chelsea 1
climaxes 1
clique 1
conga 1
counts 1
debauchery 1
decade 1
dedicated 1
did 1
die 1
discovered 1
dissolution 1
dorian 3
drugaddicted 1
dubbed 1
dying 1
egregiously 1
epitome 1
era 1
fare 1
flames 1
friend 1
gay 1
gray 1
hallward 4
has 2
have 1
he 1
healthy 1
henry 1
her 1
him 2
his 1
how 2
in 4
installation 2
integral 1
is 5
it 3
later 1
lies 1
line 1
male 1
man 1
married 1
mass 1
more 1
most 1
narcissus 1
night 1
of 12
parisian 1
part 1
perhaps 1
plummeted 1
prince 1
queasily 1
remains 1
remarkable 1
retrovirus 1
royal 1
shattered 1
sicken 1
sinister 1
sixteen 1
snared 1
snobbish 1
so 1
soared 1
sometime 1
stockmarket 1
style 1
sultan 1
summer 1
superficiality 1
synonymous 1
tcell 1
that 2
the 8
their 1
they 1
timeless 1
to 3
underpass 1
uneasily 1
veritable 1
very 1
video 1
wales 1
warhol 1
well 1
what 2
which 1
while 2
with 1
wotton 4
years 1
young 1
youthful 1
