3154776
/m/08vz51
/m/08vz51
Robin Cook
1997
21yearold 1
3 2
a 27
abandon 1
able 1
about 3
accompanies 1
acquires 1
activate 1
activator 1
acts 1
advances 1
after 2
against 1
ago 2
alien 4
aliensa 1
all 5
allow 1
already 1
also 6
although 1
ambitious 1
americans 1
an 6
and 39
another 1
antibody 2
any 1
apparently 3
are 5
arrives 1
artificially 1
as 8
assimilation 1
associates 1
at 4
attempting 1
back 1
banning 1
be 5
beau 6
beaus 1
become 1
been 3
before 2
behind 1
being 2
between 1
big 1
billion 2
biological 1
black 1
blackhole 1
board 1
book 1
brought 1
building 1
but 7
by 12
cabin 1
called 1
came 1
can 2
car 1
carried 1
carriers 1
cases 1
cassy 12
cause 2
cdc 2
changes 2
changing 1
chronic 1
city 1
cold 2
colleague 1
collective 1
combat 1
come 1
comes 1
concerned 2
consciousness 2
construction 1
consumed 1
contact 2
contacting 1
contacts 2
contained 1
containment 1
control 1
cook 1
cop 1
cope 1
could 1
create 1
cure 3
cured 1
cures 1
deadly 1
deal 1
deaths 2
decides 1
deduces 1
destroy 1
destroyed 1
destruction 1
diabetes 1
dies 2
discloses 1
discover 2
discovered 1
discovers 1
disease 1
diseases 1
disk 6
disks 6
dispersion 1
disposal 1
dna 1
do 1
doctor 1
dogs 1
dr 5
earth 8
emits 1
emotions 2
encountered 1
encountering 1
ending 1
energy 1
engineered 1
engulfed 1
enough 1
entire 2
environment 1
envisions 1
escape 1
escaped 1
escapes 1
eugene 4
every 1
everything 1
evolving 1
exboyfriend 1
except 1
experimenting 1
expose 1
exposes 1
extraterrestrial 1
facility 3
faint 1
far 1
fears 1
few 2
final 1
finally 1
find 1
first 2
flees 2
flu 3
flulike 1
followed 1
follows 1
food 1
for 6
foray 1
forays 1
forms 1
free 1
friend 1
friends 1
from 5
gateway 3
genetic 1
girlfriend 1
given 1
giving 1
go 1
gone 1
got 1
group 7
groups 1
guinea 1
had 3
halted 1
handle 1
harlan 1
has 8
have 3
having 1
he 9
headed 1
her 10
hidden 1
hideout 1
him 2
himself 2
his 6
hold 1
hooked 1
hopes 1
horrified 1
horror 1
hospital 1
host 1
hosts 2
hours 1
however 2
hq 1
human 4
humans 1
icy 1
if 1
immunity 1
in 15
infect 1
infected 9
infecting 2
infection 2
infects 1
infest 2
infestation 1
infested 1
informed 1
informing 1
informs 1
infused 1
infusion 1
inhabitants 1
injecting 1
into 1
introduces 1
invasion 4
inviting 1
is 22
isolating 1
it 12
its 2
itself 1
jesse 3
job 1
jonathan 3
judge 1
just 2
kill 1
killing 1
kills 1
knew 1
lab 4
leader 1
least 2
leave 1
leaves 1
left 2
life 3
like 3
link 1
little 1
local 1
long 2
longest 1
looking 1
loves 1
m 1
made 1
major 1
make 2
makes 1
man 2
mansion 2
matter 1
may 1
mccay 4
means 1
meanwhile 3
medical 1
meet 1
mice 1
mild 1
million 1
millions 1
monoclonal 2
more 1
most 1
mutual 1
nancy 3
native 1
needed 1
never 1
new 1
no 2
not 2
notices 1
number 1
obsession 1
of 18
off 1
on 8
once 1
one 6
only 2
other 2
others 1
outer 1
over 2
overcome 1
owned 1
oxygen 2
parents 1
part 1
people 3
person 1
personality 3
physicist 1
pick 2
pig 1
pining 1
pitt 2
place 1
planets 2
planned 2
point 1
power 1
powerful 1
preventable 1
prevented 1
prevents 1
problems 1
proceeds 2
process 1
protein 1
radiation 1
rapidly 1
receive 1
remote 1
reported 1
research 2
robin 1
run 1
secret 1
seizures 1
sends 1
senior 1
sent 1
shares 1
she 4
shiela 3
shows 1
signal 1
since 1
slowly 1
smashing 1
so 1
some 2
somewhat 1
soon 2
space 1
spread 1
spreads 1
staff 1
staffed 1
stark 1
started 1
starts 1
state 1
sting 1
stocked 1
storms 1
strain 1
strange 1
student 1
students 1
stung 1
succeeded 1
such 2
sudden 2
suddenly 1
suffering 2
suitability 1
suitable 1
supplies 1
surging 1
symptoms 4
system 1
take 2
taken 1
takes 2
taking 1
telling 1
tells 2
temporarily 1
testing 1
that 10
the 88
their 3
them 3
themselves 1
then 1
there 1
they 7
this 5
those 4
threat 1
thus 1
time 3
tiny 1
to 41
too 2
town 1
transporter 2
travel 2
two 1
unable 2
under 1
unexplained 1
unit 1
up 5
upsurge 1
vastness 1
very 1
virile 1
virologist 1
virus 18
vulnerable 1
wakes 1
wants 1
war 1
warfare 1
was 9
wave 1
weapon 1
what 3
when 6
which 5
while 2
who 12
will 5
with 16
within 1
witnessing 1
women 1
work 1
working 1
world 1
would 3
years 3
young 1
zeros 1
zombie 1
