11209757
/m/02r3rvb
/m/02r3rvb
Christopher Buckley
2004
a 6
accepted 1
affairs 1
agency 1
agrees 1
airs 1
all 3
along 1
ambassador 1
an 4
and 8
anger 1
arrange 1
arrives 1
as 1
assistant 1
asylum 2
at 1
avoid 1
back 2
bankers 2
been 2
begging 1
beheaded 1
board 1
broadcast 1
but 3
by 3
car 1
causing 1
characters 1
compound 1
country 1
creates 1
crime 1
department 1
deputy 2
desperately 1
discovers 1
drafts 1
drives 1
drunk 1
eastern 2
effective 1
employee 1
empowered 1
equity 1
eventually 1
exasperated 1
expresident 1
extremism 1
farfaletti 1
feature 1
female 1
fictional 1
firm 1
florence 11
flow 1
for 5
friend 2
fun 1
fund 1
funded 1
gets 1
glad 1
government 2
group 2
harsh 1
has 1
have 1
help 1
her 8
husband 1
identified 1
improved 1
in 7
into 1
introduce 1
investment 1
is 8
jail 1
liberal 1
like 1
loss 1
make 1
matar 3
men 1
middle 1
mission 1
mornings 1
mysterious 1
nation 1
near 1
neighboring 1
nettle 1
network 3
not 1
notifies 1
obscure 1
of 10
on 1
one 3
only 1
operation 1
oppressors 1
or 1
other 1
out 1
outside 1
over 2
phones 1
police 1
posting 1
prevent 1
private 1
profits 1
programming 1
proposal 3
pulled 1
punishment 1
rather 1
reassigns 1
rejects 1
relatively 1
representing 1
rescued 1
returns 1
rights 1
sam 1
secretary 1
secure 1
she 1
shows 1
stage 1
state 2
states 2
status 1
steals 1
surprise 1
taken 1
television 2
tells 1
that 4
the 24
their 1
thousand 1
thrown 1
to 13
ultimately 1
unable 1
uncle 1
united 2
unknown 1
uprising 1
us 1
waldorf 2
wanted 1
was 1
wasabia 5
way 1
were 1
when 1
which 2
who 2
wife 2
women 4
work 1
working 2
