4890752
/m/0cstnz
/m/0cstnz
Gary Paulsen
1991-06
14 1
54 1
a 10
abandon 1
accompanied 1
actions 1
after 1
again 1
agrees 1
aid 1
alone 2
an 1
and 6
anyone 1
as 1
at 1
back 1
be 1
before 1
being 1
bid 1
boy 1
brannock 1
brian 6
bring 1
brought 1
bugs 1
builds 1
but 1
by 5
camp 1
can 1
canadian 2
coma 1
days 1
dehydration 1
dereck 1
derek 4
desperate 1
destroys 1
die 1
down 1
duo 1
during 1
eat 1
emergency 3
eventually 1
everything 1
finds 1
first 1
food 1
for 2
goes 1
government 3
grim 1
hired 1
his 4
holtzer 1
home 1
if 1
impossible 1
in 4
insisted 1
insists 1
instead 1
into 1
is 6
it 1
knife 2
knocks 1
knowing 1
learn 1
lightning 1
living 1
location 1
long 1
military 1
mother 1
of 2
off 1
old 1
only 2
overjoyed 1
post 1
prepared 1
previous 1
psychologist 1
radio 2
raft 1
rain 1
reach 1
reluctant 1
remote 1
repeat 1
river 1
robeson 1
saying 1
set 1
sleep 1
so 1
spent 1
stay 1
struck 1
summer 1
supplies 1
survival 1
surviving 2
take 2
techniques 1
tent 1
that 2
the 11
their 2
them 1
then 1
they 1
things 1
this 1
though 2
time 1
to 4
trading 1
turn 1
two 1
when 1
which 1
who 1
wilderness 1
will 1
with 1
within 1
wits 1
woods 1
would 1
year 1
