24300954
/m/080kny_
/m/080kny_
Laura Bynum

2012 1
a 10
act 1
adams 1
an 1
and 5
any 1
apathy 1
are 3
as 1
ashes 1
at 1
blue 1
book 1
brutal 1
but 1
by 3
called 1
coats 1
confederation 1
controlled 1
cost 1
could 1
country 1
daughter 2
death 1
dedicated 1
destruction 1
determined 1
device 1
driven 1
drugs 1
erased 1
even 1
every 1
fabled 1
forbidden 1
force 1
freedom 1
from 1
government 1
governmentsanctioned 1
guided 1
harper 1
harpera 1
her 1
ignorance 1
implant 1
in 2
instrument 1
is 3
known 1
list 1
lost 1
maintaining 1
make 1
mandatory 1
member 1
memories 1
monitors 1
name 2
new 1
newest 1
noah 1
of 9
old 1
onehalf 1
or 1
order 1
out 2
people 1
person 1
physical 1
police 1
populace 1
population 1
possesses 1
power 1
prepared 1
punishment 1
red 1
redlisted 1
resist 1
resistance 1
risk 1
rose 1
sex 1
shake 1
she 1
six 1
slate 1
speaks 1
start 1
terrorism 1
that 2
the 14
their 2
there 1
they 1
this 1
those 1
to 5
ultimate 1
underground 1
utter 1
very 1
via 1
viral 1
war 1
warriors 1
was 2
weaponor 1
when 1
who 1
whose 1
willing 1
wiped 1
woman 1
word 2
years 1
