15203220
/m/047gprn
/m/047gprn
Jim Butcher
2005-05-03
3 1
a 26
able 2
about 5
accepting 1
accidentally 1
accosted 1
after 4
again 2
against 1
agrees 1
alley 1
allied 1
almost 1
alone 1
alphas 2
already 1
ambushed 1
among 1
an 2
and 62
answers 2
any 1
apartment 5
apparently 1
appear 2
appears 1
apprentices 2
arcane 1
are 7
area 1
areas 1
arrive 1
arrives 2
as 10
asking 1
assaulted 1
assaults 1
assistant 1
assists 1
associate 2
assumes 1
at 6
attack 1
attacked 3
attacks 5
attempts 1
attendant 1
avoiding 1
awakes 1
back 1
backlash 1
battle 1
be 4
becomes 1
before 2
begin 1
begins 1
being 1
belief 1
belong 1
besieges 1
binds 1
black 2
blood 1
bob 5
bodies 1
body 4
book 8
bookstore 4
botched 1
brings 1
brutally 1
burned 1
but 8
butters 14
by 14
call 1
calls 1
campus 1
can 3
capio 1
capiocorpus 6
capriocorpus 3
captain 3
captures 1
cassius 4
cause 1
certainly 1
chicago 2
circle 2
clear 1
close 1
closer 1
closes 1
collapses 1
college 1
come 2
commander 1
competition 1
concentration 1
confirm 1
confirmed 1
confronts 1
consults 2
containment 1
contents 1
coordinates 1
copy 2
coroner 1
corpse 1
corpus 1
could 1
council 1
court 1
cowl 11
creates 1
curse 2
darkhallow 7
data 1
day 1
days 2
dead 3
deal 2
death 1
deaths 1
declines 2
defeat 1
demigod 3
dependence 1
deputizes 1
der 2
devised 1
devour 1
devours 1
die 3
dies 2
dinner 1
dismay 1
disrupting 1
distracts 1
down 2
dr 1
dream 1
dreams 1
dresden 61
drive 2
drops 1
drummer 1
duo 1
during 2
early 1
earth 1
eats 2
eidetic 1
elrking 1
else 1
emergency 1
employee 1
empower 1
empty 1
ends 1
energy 2
enough 1
ensnare 1
enters 2
erlking 10
escape 2
evacuate 1
events 1
everyone 1
everything 1
exhausted 1
face 3
fairy 1
fellow 1
field 1
fight 1
fighting 3
figure 1
find 1
finding 1
first 1
five 1
flash 2
flee 2
flips 1
follow 1
for 15
force 1
forced 1
forces 1
forcing 1
forewarned 1
former 1
friend 1
friends 1
from 10
gard 1
gathering 1
german 1
get 1
gets 1
getting 1
gives 4
go 2
godmother 1
gps 2
greeted 1
grevane 10
group 1
guard 1
guesses 1
guitar 1
halloween 3
hand 1
harry 12
has 3
have 2
he 21
head 1
healers 1
heard 1
help 3
hence 1
her 9
hidden 1
hide 1
him 13
himself 2
hired 1
his 25
holding 1
holds 1
home 1
hospital 1
host 1
house 1
humiliated 1
hunt 4
hunted 1
hunters 2
hurries 1
i 1
identifies 1
if 2
image 2
imaginary 1
impales 1
in 11
information 1
injured 1
inside 1
instead 1
interrogating 1
into 4
is 23
it 6
its 1
johnny 1
journal 1
kemmler 6
kidnaps 1
kill 1
killed 2
kills 2
knifepoint 1
knight 2
knocks 2
know 1
kowalski 1
kumori 8
lasciel 6
last 1
later 1
latin 1
lead 1
leanansidhe 1
leaves 2
leaving 1
li 3
lied 2
likely 1
lindquist 1
linked 1
listenstowind 1
local 2
locate 2
locates 1
location 1
lose 1
luccio 7
mab 4
maelstrom 1
magic 2
makes 2
manacled 1
many 1
marcone 1
mavra 5
mcanally 1
meeting 2
meets 1
memory 1
mentally 1
message 1
mind 1
minions 1
misjudged 1
more 2
morgan 4
mortimer 1
most 1
mouse 4
moved 1
mows 1
ms 1
much 1
murder 2
murdered 1
murders 1
murphy 2
museum 1
must 2
near 2
nearly 1
necromancer 4
necromancermagic 1
necromancers 1
necromancy 1
nerve 1
never 1
next 2
night 1
no 1
not 1
novel 1
now 2
occurred 1
of 23
off 3
offer 3
offers 1
old 1
on 5
one 5
oneself 1
only 1
or 2
orders 1
out 3
outside 1
over 1
overpowered 1
overwhelmed 1
owner 1
past 2
path 1
patterns 1
peaceful 1
peculiar 1
performing 1
photos 1
phrasing 1
planning 1
pleased 1
pockets 1
points 1
police 1
possession 1
power 1
powerful 3
prevent 1
previous 1
previously 1
promises 1
queen 2
quickly 2
quintus 1
raises 1
ramirez 4
read 1
realizes 3
recent 2
recently 1
recites 1
recognizes 1
red 1
refuses 1
regional 1
reinforces 1
releases 1
rely 1
rescued 1
rest 1
returns 1
reveal 1
rex 2
rhythm 1
ride 1
rites 1
ritual 4
ritually 1
room 2
runs 1
safety 1
saluriel 1
saved 1
says 1
searches 1
secure 1
setup 1
she 4
sheila 5
shooting 1
shoots 2
shot 1
sideline 1
sidelined 1
sidewalk 1
signals 1
similar 1
since 1
sirens 1
six 1
slippery 1
slope 1
slugs 1
smashes 1
so 5
some 2
sorry 1
soulgazed 1
specters 1
speed 1
spell 2
spellbook 1
spirit 1
spirits 4
splatters 1
staff 1
standstill 1
stealing 1
still 1
store 1
story 1
students 2
suddenly 1
sue 9
summon 3
summoning 2
summons 3
sunset 1
surround 1
swap 1
switches 1
take 2
takes 1
talking 1
tell 1
tells 3
tempting 2
text 1
than 1
that 11
the 97
them 4
then 3
therapy 1
there 1
these 1
they 6
thomas 3
those 1
threatening 1
three 1
through 1
to 42
too 1
took 1
torturing 1
total 1
town 1
traces 1
traitor 1
translates 1
trapped 1
traps 1
truce 1
trusted 1
trying 1
turn 1
turns 1
