34368998
/m/0h_dkwn
/m/0h_dkwn
Colin Bateman

a 1
action 1
again 1
alive 1
also 1
an 1
and 4
based 1
both 1
by 1
career 1
cast 1
child 1
colonel 1
dan 1
directing 1
employed 1
escape 1
events 1
film 1
hero 1
himself 1
his 2
illegitimate 1
infamous 1
into 1
ira 1
is 3
keeping 1
lead 1
legendary 1
little 1
looking 1
making 1
member 1
move 1
movie 1
movies 1
nicknamed 1
on 1
once 1
otoole 2
patricia 1
protect 1
sean 1
soon 1
star 1
starkey 2
stevie 1
struggling 1
the 1
to 3
type 1
unfortunately 1
while 1
who 1
wife 1
writing 1
