2731114
/m/07_l76
/m/07_l76
Thorbjørn Egner
1955
{"/m/0dwly": "Children's literature"}
a 1
about 1
and 5
are 2
arrested 1
as 2
at 1
baker 1
bastian 1
become 1
becomes 3
book 1
but 1
by 1
casper 2
chapter 1
characters 1
circus 1
constable 1
day 1
end 2
enter 1
extinguish 1
final 1
fire 1
fireman 1
good 1
heroes 1
in 4
is 1
jail 1
jasper 2
jonathan 2
kardemomme 1
kindly 1
live 1
manager 1
need 1
of 3
only 1
outside 1
peaceful 1
people 1
reforms 1
regularly 1
robbers 2
serious 1
steal 1
stir 1
the 20
them 1
there 1
they 4
things 1
three 1
to 1
tower 1
town 6
treatment 1
trouble 1
up 1
well 1
when 1
which 1
who 1
